N0,N1,N2,Volume,Enclosing_surface,Contact_surface,TETRAVOXEL,OCTOVOXEL,MISC_Async
544,880,472,84,440,32,0,0,52.0
854,1695,1068,217,834,234,27,0,10.0
770,1918,1464,351,822,642,274,18,-35.0
795,1900,1404,328,840,564,220,13,-29.0
680,1202,697,133,596,101,10,0,42.0
864,1678,1043,210,826,217,26,0,19.0
743,1964,1609,414,734,875,496,61,-26.0
733,1944,1672,462,572,1100,800,163,-1.0
844,1872,1292,284,880,412,112,4,-20.0
828,1530,918,180,756,162,18,0,36.0
797,1938,1439,336,862,577,214,11,-38.0
849,1857,1254,269,894,360,69,1,-23.0
799,1928,1430,334,856,574,216,9,-33.0
816,1850,1281,280,882,399,86,0,-33.0
818,1531,925,182,758,167,15,0,30.0
827,1520,907,177,752,155,16,1,37.0
812,1778,1218,266,840,378,98,0,-14.0
745,1413,866,173,694,172,25,1,25.0
732,1946,1624,429,674,950,598,96,-19.0
794,1908,1435,343,812,623,284,26,-22.0
88,136,70,12,68,2,0,0,10.0
822,1827,1250,271,874,376,79,0,-26.0
815,1893,1353,306,870,483,153,7,-31.0
743,1947,1649,448,610,1039,727,139,-3.0
740,1945,1603,417,704,899,537,74,-19.0
836,1696,1097,229,820,277,56,0,8.0
804,1956,1456,341,866,590,224,12,-37.0
806,1391,788,147,694,94,3,0,56.0
729,1945,1724,502,436,1288,1073,281,6.0
816,1770,1205,262,838,367,94,0,-11.0
730,1947,1707,486,498,1209,951,224,4.0
734,1953,1653,446,630,1023,693,128,-12.0
774,1441,869,171,712,157,17,0,31.0
852,1624,995,198,802,193,20,0,25.0
786,1767,1223,268,838,385,91,0,-26.0
554,909,494,89,454,40,1,0,50.0
836,1857,1271,276,886,385,85,2,-26.0
788,1418,832,160,704,128,10,0,42.0
809,1957,1457,343,856,601,245,21,-34.0
802,1505,914,181,742,172,21,0,30.0
868,1676,1037,208,826,211,24,0,21.0
796,1482,894,176,732,162,18,0,32.0
492,816,447,81,408,39,0,0,42.0
770,1954,1503,362,834,669,286,22,-43.0
858,1711,1085,222,838,247,35,0,10.0
550,909,497,90,454,43,1,0,48.0
898,1884,1247,265,904,343,76,2,-4.0
800,1438,843,162,714,129,10,0,43.0
787,1970,1507,361,848,659,274,13,-37.0
839,1851,1269,277,876,393,99,3,-20.0
843,1885,1307,288,886,421,113,3,-23.0
829,1633,1039,215,788,251,57,1,20.0
