N0,N1,N2,Volume,Enclosing_surface,Contact_surface,TETRAVOXEL,OCTOVOXEL,MISC_Async
5647,14355,10961,2612,6250,4711,1855,115,-359.0
6209,12554,8056,1666,6116,1940,322,3,45.0
4708,7956,4433,816,3970,463,16,0,369.0
5506,14340,11117,2676,6178,4939,1984,114,-393.0
220,332,167,28,166,1,0,0,27.0
6000,10996,6552,1277,5442,1110,112,0,279.0
5778,10409,6110,1175,5170,940,69,0,304.0
5868,10782,6428,1252,5344,1084,94,0,262.0
4898,13881,12973,3926,2390,10583,9101,2380,64.0
4902,13881,12975,3938,2322,10653,9237,2464,58.0
6151,14014,9817,2176,6578,3239,858,17,-222.0
5422,14350,11389,2804,5954,5435,2442,154,-343.0
5528,9520,5390,1006,4744,646,32,0,392.0
5365,14557,11670,2890,6000,5670,2557,189,-412.0
5231,14339,11658,2927,5754,5904,2831,231,-377.0
6262,13518,9061,1934,6518,2543,482,2,-129.0
2496,3892,2020,349,1946,74,0,0,275.0
6182,13936,9687,2134,6570,3117,796,14,-201.0
5523,14338,11126,2683,6154,4972,2030,113,-372.0
6195,13314,8915,1904,6406,2509,502,5,-108.0
5586,14354,10993,2618,6278,4715,1798,94,-393.0
6368,13218,8634,1809,6414,2220,390,4,-25.0
5916,13974,10086,2295,6402,3684,1170,48,-267.0
4907,14154,12509,3431,4432,8077,5290,813,-169.0
5982,13814,9755,2174,6466,3289,882,18,-251.0
5054,8645,4865,903,4312,553,21,0,371.0
6119,13979,9787,2166,6578,3209,823,19,-239.0
6367,12989,8374,1736,6332,2042,325,3,16.0
5418,9605,5566,1059,4778,788,49,0,320.0
6350,12783,8161,1679,6248,1913,287,4,49.0
4957,14177,12420,3380,4560,7860,5057,757,-180.0
4912,13864,13027,4049,1760,11267,10344,3100,26.0
5124,14347,12006,3098,5424,6582,3499,330,-315.0
5915,14245,10352,2358,6556,3796,1133,31,-336.0
4997,14251,12114,3172,5196,6918,3859,425,-312.0
488,732,366,61,366,0,0,0,61.0
6000,14227,10270,2333,6542,3728,1143,38,-290.0
5662,10109,5889,1125,5028,861,53,0,317.0
3470,5601,2999,533,2800,199,1,0,335.0
5157,14342,11810,2997,5638,6172,3066,263,-372.0
6328,12958,8386,1745,6302,2084,354,4,11.0
5650,10221,6014,1158,5080,934,61,0,285.0
6122,13724,9502,2088,6476,3026,772,22,-188.0
6045,11623,7178,1439,5722,1456,179,1,161.0
6206,12445,7938,1634,6072,1866,301,4,65.0
208,312,156,26,156,0,0,0,26.0
6327,12878,8292,1718,6276,2016,326,5,23.0
6022,14048,10003,2245,6536,3467,976,22,-268.0
5293,14322,11567,2895,5764,5803,2794,243,-357.0
4904,14143,12598,3484,4292,8306,5559,862,-125.0
5214,14411,11862,3016,5628,6234,3155,288,-351.0
6184,14282,10067,2239,6700,3367,882,24,-270.0
4906,13877,13006,3983,2114,10892,9649,2688,52.0
5040,14295,12164,3195,5158,7006,3979,454,-286.0
4867,13989,12798,3696,3420,9378,7149,1487,-20.0
5800,10372,6050,1157,5158,892,56,0,321.0
6181,13367,9004,1934,6404,2600,559,9,-116.0
6365,13702,9178,1960,6596,2582,510,7,-119.0
5438,14394,11311,2753,6104,5207,2186,130,-398.0
6186,13137,8721,1850,6342,2379,453,4,-80.0
6062,14256,10195,2296,6614,3581,1028,38,-295.0
6371,13109,8501,1770,6382,2119,345,3,-7.0
4885,13974,12791,3709,3328,9463,7318,1571,-7.0
6278,13042,8530,1790,6320,2210,402,6,-24.0
4896,13999,12732,3657,3522,9210,6955,1430,-28.0
4896,14085,12677,3570,3934,8743,6217,1126,-82.0
6038,11413,6951,1377,5640,1311,133,0,199.0
4871,14041,12676,3574,3908,8768,6225,1099,-68.0
5443,14311,11280,2763,5982,5298,2347,163,-351.0
4580,7742,4314,794,3864,450,14,0,358.0
5422,14441,11344,2755,6158,5186,2125,124,-430.0
5937,11037,6638,1302,5464,1174,109,1,236.0
5365,14410,11510,2846,5944,5566,2522,183,-381.0
4895,13939,12869,3794,2974,9895,7991,1859,31.0
4988,14153,12264,3298,4740,7524,4673,646,-199.0
6001,14016,9984,2241,6522,3462,972,23,-272.0
5866,10493,6130,1175,5210,920,73,0,328.0
5036,8628,4859,902,4306,553,16,0,365.0
6379,13380,8800,1853,6482,2318,416,5,-54.0
6199,13598,9274,2014,6464,2810,670,13,-139.0
5890,14138,10273,2343,6488,3785,1162,38,-318.0
384,576,288,48,288,0,0,0,48.0
6245,13190,8739,1853,6360,2379,470,3,-59.0
5912,14416,10585,2435,6560,4025,1296,60,-354.0
6002,10937,6480,1256,5424,1056,89,0,289.0
5933,14299,10454,2400,6508,3946,1283,49,-312.0
5264,14329,11543,2874,5842,5701,2645,214,-396.0
6394,13237,8625,1803,6432,2193,373,4,-21.0
1652,2532,1293,220,1266,27,0,0,193.0
900,1384,709,121,692,17,0,0,104.0
2812,4470,2362,415,2234,128,2,0,289.0
4913,13872,13047,4070,1674,11373,10524,3203,18.0
4890,14098,12586,3495,4202,8384,5694,922,-117.0
200,300,150,25,150,0,0,0,25.0
5483,14480,11348,2757,6154,5194,2172,141,-406.0
4898,13899,12975,3920,2430,10545,9039,2360,54.0
6285,12274,7659,1547,6036,1623,202,3,123.0
5090,14324,12071,3139,5308,6763,3708,386,-302.0
4694,7953,4443,820,3966,477,21,0,364.0
4939,14172,12531,3442,4410,8121,5352,817,-144.0
5610,14315,10952,2609,6250,4702,1815,84,-362.0
5510,14377,11146,2682,6200,4946,1977,116,-403.0
6184,13724,9419,2053,6520,2899,684,12,-174.0
5450,14408,11360,2778,6052,5308,2304,150,-376.0
256,388,196,33,194,2,0,0,31.0
4894,13966,12824,3738,3220,9604,7526,1646,14.0
5807,14061,10293,2363,6408,3885,1245,47,-324.0
5732,10178,5906,1125,5062,844,54,0,335.0
6158,12046,7533,1525,5916,1617,214,2,120.0
1566,2429,1255,216,1214,41,1,0,176.0
4955,14211,12414,3360,4668,7746,4875,691,-202.0
6107,13733,9495,2079,6516,2979,701,11,-210.0
6010,13748,9630,2132,6468,3162,812,22,-240.0
6324,13578,9082,1938,6536,2546,506,8,-110.0
6331,13158,8591,1798,6394,2197,370,5,-34.0
4943,14085,12529,3483,4160,8369,5765,975,-96.0
6296,11932,7288,1448,5888,1400,156,0,204.0
5825,10518,6190,1194,5216,974,86,3,303.0
5109,14410,12107,3137,5392,6715,3626,379,-331.0
5495,14476,11369,2772,6106,5263,2264,157,-384.0
4917,14118,12638,3531,4090,8548,5938,1015,-94.0
6276,11880,7259,1444,5854,1405,172,0,211.0
5891,14245,10396,2378,6524,3872,1197,39,-336.0
6305,13170,8644,1818,6380,2264,410,3,-39.0
4881,14012,12853,3729,3332,9521,7348,1563,-7.0
6278,12878,8335,1733,6272,2063,334,2,2.0
4892,14011,12791,3683,3484,9307,7043,1430,-11.0
4959,14137,12434,3403,4450,7984,5237,803,-147.0
5940,14350,10513,2418,6518,3995,1314,52,-315.0
5429,14427,11426,2809,5998,5428,2431,193,-381.0
6239,12291,7731,1573,6024,1707,243,3,106.0
5698,14394,10841,2542,6430,4411,1534,62,-397.0
5190,8949,5073,948,4458,615,33,0,366.0
5302,14458,11704,2928,5840,5864,2778,222,-380.0
6378,13474,8893,1876,6530,2363,414,6,-79.0
5318,14473,11709,2930,5838,5871,2797,232,-376.0
6333,12746,8153,1682,6214,1939,318,3,58.0
5197,14382,11767,2966,5738,6029,2906,227,-384.0
6332,13090,8518,1779,6362,2156,366,8,-19.0
4899,14092,12651,3543,4044,8607,6004,1025,-85.0
4939,14130,12457,3414,4430,8027,5270,805,-148.0
5902,14092,10168,2303,6518,3650,1056,34,-325.0
5218,8905,5004,928,4440,564,25,0,389.0
5422,9453,5405,1017,4708,697,37,0,357.0
5911,14366,10572,2441,6498,4074,1370,61,-324.0
6259,13620,9228,1993,6498,2730,624,13,-126.0
6297,12494,7886,1607,6130,1756,234,3,82.0
4912,13875,13019,4023,1900,11119,10075,2946,33.0
4912,13871,13035,4044,1806,11229,10259,3042,32.0
6261,12893,8359,1739,6284,2075,325,1,-12.0
5548,9740,5601,1059,4848,753,44,0,350.0
5383,14469,11598,2881,5910,5688,2649,211,-369.0
6276,12733,8183,1693,6208,1975,317,2,33.0
2954,4701,2486,437,2350,136,1,0,302.0
6288,12650,8062,1655,6194,1868,262,4,45.0
