N0,N1,N2,Volume,Enclosing_surface,Contact_surface,TETRAVOXEL,OCTOVOXEL,MISC_Async
122,280,211,52,110,101,60,10,1.0
120,188,98,17,94,4,0,0,13.0
123,272,193,44,122,71,28,1,0.0
128,236,142,28,116,26,4,0,6.0
120,226,139,28,110,29,6,0,5.0
96,148,76,13,74,2,0,0,11.0
125,300,240,64,96,144,108,27,1.0
132,244,147,29,120,27,4,0,6.0
126,267,180,39,126,54,15,0,0.0
121,255,171,37,120,51,15,1,0.0
64,96,48,8,48,0,0,0,8.0
138,269,170,35,130,40,9,0,4.0
108,176,95,17,88,7,0,0,10.0
88,136,70,12,68,2,0,0,10.0
8,12,6,1,6,0,0,0,1.0
52,88,49,9,44,5,0,0,4.0
138,275,177,37,132,45,11,0,3.0
122,249,162,34,120,42,9,0,1.0
88,148,82,15,74,8,0,0,7.0
132,286,196,43,134,62,18,0,-1.0
120,263,183,41,120,63,23,2,-1.0
130,276,187,41,128,59,20,2,0.0
108,200,121,24,98,23,4,0,5.0
98,185,112,22,92,20,1,0,3.0
122,205,114,21,102,12,1,0,10.0
0,0,0,0,0,0,0,0,0.0
126,280,196,44,128,68,24,2,-2.0
108,188,107,20,94,13,0,0,7.0
120,214,125,24,106,19,2,0,7.0
120,258,175,38,122,53,14,0,-1.0
118,217,129,25,108,21,1,0,5.0
128,269,180,39,126,54,17,2,0.0
80,136,76,14,68,8,0,0,6.0
100,176,101,19,88,13,0,0,6.0
125,300,239,62,106,133,88,15,2.0
124,254,164,34,124,40,6,0,0.0
124,290,224,57,106,118,78,16,1.0
104,188,110,21,94,16,0,0,5.0
32,48,24,4,24,0,0,0,4.0
70,125,73,14,62,11,1,0,4.0
102,169,93,17,84,9,1,0,9.0
125,300,239,62,106,133,88,15,2.0
119,214,129,26,102,27,10,1,8.0
114,193,108,20,96,12,1,0,9.0
125,292,217,52,122,95,48,7,-2.0
64,96,48,8,48,0,0,0,8.0
125,300,237,61,108,129,84,15,1.0
128,276,182,38,136,46,4,0,-4.0
134,272,180,39,126,54,20,2,3.0
28,44,23,4,22,1,0,0,3.0
121,286,219,54,114,105,58,7,0.0
136,242,141,27,120,21,2,0,8.0
134,265,169,35,128,41,9,0,3.0
138,263,161,32,130,31,3,0,4.0
128,278,189,41,132,57,14,0,-2.0
112,210,127,25,104,23,2,0,4.0
130,279,187,40,134,53,11,0,-2.0
140,299,206,46,136,70,27,2,1.0
118,227,140,28,112,28,3,0,3.0
132,258,162,33,126,36,6,0,3.0
24,36,18,3,18,0,0,0,3.0
125,300,240,64,96,144,108,27,1.0
106,177,98,18,88,10,1,0,9.0
92,152,83,15,76,7,0,0,8.0
134,253,155,31,124,31,5,0,5.0
130,261,166,34,128,38,5,0,1.0
88,144,78,14,72,6,0,0,8.0
124,196,103,18,98,5,0,0,13.0
130,251,155,31,124,31,3,0,3.0
124,234,144,29,114,30,6,0,5.0
104,176,98,18,88,10,0,0,8.0
134,255,156,31,126,30,3,0,4.0
123,300,230,56,124,106,52,5,-3.0
125,298,233,59,112,121,74,11,1.0
120,266,183,40,126,57,14,0,-3.0
125,299,225,54,126,99,47,5,-3.0
122,275,189,41,132,57,11,0,-5.0
76,128,71,13,64,7,0,0,6.0
139,302,210,47,138,72,26,1,0.0
122,209,118,22,104,14,1,0,9.0
60,92,47,8,46,1,0,0,7.0
137,281,186,40,132,54,17,1,2.0
92,172,105,21,84,21,4,0,4.0
126,269,181,39,128,53,13,0,-1.0
104,190,113,22,94,19,2,0,5.0
94,157,87,16,78,9,1,0,8.0
