N0,N1,N2,Volume,Enclosing_surface,Contact_surface,TETRAVOXEL,OCTOVOXEL,MISC_Async
36588,62108,34737,6415,30984,3753,140,0,2802.0
48381,104465,70247,15063,50116,20131,4233,65,-900.0
46579,108014,76383,17035,50556,25827,6902,197,-2087.0
42546,110736,85099,20262,48626,36473,13484,626,-3353.0
46549,87962,53547,10602,43482,10065,998,3,1532.0
44114,110280,82313,19153,49708,32605,10864,418,-3006.0
43680,78448,45938,8817,38974,6964,500,0,2353.0
36324,108179,96687,26515,34284,62403,39611,5406,-1683.0
47131,106909,74370,16363,50562,23808,5785,111,-1771.0
38618,66085,37202,6907,32962,4240,161,0,2828.0
35937,104543,101370,32746,6264,95106,92015,29637,18.0
38771,66134,37142,6884,32980,4162,174,1,2895.0
47484,106486,73526,16090,50512,23014,5462,104,-1566.0
48608,102419,67570,14262,49568,18002,3283,46,-503.0
48459,94823,59261,11983,46624,12637,1575,7,914.0
46692,108605,76958,17189,50782,26176,7041,198,-2144.0
42524,74976,43247,8195,37324,5923,328,0,2600.0
35626,106774,98885,28340,27730,71155,51314,9102,-603.0
29226,47509,25606,4579,23738,1868,33,0,2744.0
38358,109977,92337,23760,42114,50223,25749,2328,-3042.0
48473,103048,68441,14523,49744,18697,3560,43,-657.0
35608,59952,33314,6120,29908,3406,136,0,2850.0
45689,109568,79231,17966,50666,28565,8236,251,-2614.0
27592,44432,23748,4215,22206,1542,20,0,2693.0
48204,103837,69600,14874,49956,19644,3925,62,-907.0
47445,107678,74975,16515,50860,24115,5958,131,-1773.0
38164,109957,92858,24021,41590,51268,26777,2486,-2956.0
48191,104193,70106,15039,49978,20128,4237,83,-935.0
48414,98870,63750,13211,48234,15516,2402,14,83.0
32066,52899,28881,5224,26418,2463,63,0,2824.0
44426,110033,81557,18867,49912,31645,10209,348,-2917.0
48611,96283,60729,12372,47226,13503,1831,15,685.0
35675,105227,100424,30428,18280,82144,68667,16507,444.0
48040,92283,56928,11399,45462,11466,1359,6,1286.0
45764,109473,79100,17935,50590,28510,8293,262,-2544.0
43001,110821,84609,20047,48936,35673,12949,581,-3258.0
38834,110515,91829,23394,43294,48535,23927,2032,-3246.0
35930,104551,101322,32526,7488,93834,89575,28092,175.0
45588,109041,78714,17822,50496,28218,8049,214,-2561.0
35609,105731,100078,29750,21656,78422,62419,13541,206.0
48444,95657,60224,12255,46918,13306,1821,14,756.0
47902,105839,72225,15649,50556,21669,4727,68,-1361.0
44451,110065,81517,18846,49958,31559,10149,379,-2943.0
46533,87285,52849,10420,43178,9671,929,1,1677.0
38914,110453,92009,23516,42922,49087,24609,2084,-3046.0
36762,108841,95598,25722,36864,58734,35113,4304,-2203.0
35889,104635,101184,32003,10350,90834,83935,24669,435.0
47832,105244,71612,15482,50332,21280,4580,64,-1282.0
48070,104888,71023,15307,50204,20819,4480,70,-1102.0
35683,105608,100254,30043,20250,80004,65108,14861,286.0
41022,71413,40793,7671,35560,5233,293,0,2731.0
15822,24593,12727,2193,12296,431,1,0,1763.0
36534,108787,96045,25956,36354,59691,36079,4508,-2164.0
44856,110110,80974,18605,50318,30656,9474,308,-2885.0
39748,110768,90573,22769,44532,46041,21704,1648,-3216.0
36334,108381,96811,26524,34478,62333,39425,5376,-1760.0
46616,86612,52083,10216,42870,9213,872,4,1871.0
32352,53486,29249,5297,26716,2533,54,0,2818.0
36335,108425,96676,26441,34706,61970,39013,5339,-1855.0
44049,110254,82272,19130,49764,32508,10726,411,-3063.0
35686,105142,100653,30702,17094,83559,70954,17602,495.0
43900,110509,82867,19354,49610,33257,11289,482,-3096.0
44994,81855,48435,9378,40602,7833,651,0,2196.0
