Points,Edges,Area,Perimeter,Contact_perimeter,TETRAPIXEL,Euler_General_4_Async
63700,81893,25391,62222,19671,1478,7198
64270,82726,25681,62728,19998,1542,7225
69624,124718,50853,46024,78694,23600,-4241
68698,127250,53831,39176,88074,29522,-4721
43368,48860,13611,43276,5584,92,8119
69158,126408,52749,41820,84588,27338,-4501
68576,127680,54544,37184,90496,31392,-4560
71452,117084,43979,58252,58832,13200,-1653
70022,124161,50115,47862,76299,22160,-4024
71731,110174,39233,63416,46758,8315,790
42786,48019,13339,42682,5337,104,8106
39705,44182,12182,39636,4546,69,7705
71615,116983,43868,58494,58489,13121,-1500
71297,106105,36880,64690,41415,6607,2072
71296,118487,45087,56626,61861,14670,-2104
71047,103782,35508,65532,38250,5515,2773
71433,106322,36961,64800,41522,6633,2072
28556,30671,8200,28542,2129,14,6085
70864,121342,47445,52904,68438,17960,-3033
46228,52678,14819,46080,6598,148,8369
70634,101640,34392,65712,35928,4922,3386
71809,114647,42155,60674,53973,11135,-683
70135,99524,33319,65772,33752,4363,3930
68658,93492,30290,65824,27668,2834,5456
67811,128985,56489,32014,96971,35797,-4685
71340,105720,36621,64956,40764,6384,2241
71283,118742,45256,56460,62282,14823,-2203
71199,103905,35577,65502,38403,5697,2871
69474,97097,32125,65694,31403,3780,4502
70983,120201,46473,54510,65691,16473,-2745
71443,105696,36566,65128,40568,6315,2313
11378,11631,2971,11378,253,0,2718
70563,101796,34516,65528,36268,5035,3283
29001,31134,8324,28972,2162,29,6191
70166,123536,49502,49064,74472,21102,-3868
71391,115218,42731,59512,55706,11879,-1096
65566,85819,26987,63690,22129,1876,6734
57849,70559,20980,57198,13361,651,8270
70692,102713,35041,65262,37451,5430,3020
67949,128934,56326,32564,96370,35385,-4659
70828,102765,34995,65550,37215,5278,3058
67102,90218,28978,64524,25694,2578,5862
34360,37436,10139,34316,3120,44,7063
71474,106595,37074,64894,41701,6580,1953
70805,102959,35095,65538,37421,5267,2941
67650,129317,57146,30050,99267,37600,-4521
66123,131452,63869,7428,124024,58695,-1460
69635,97048,32054,65880,31168,3755,4641
68817,126938,53461,40032,86906,28785,-4660
68765,127280,53888,39008,88272,29757,-4627
70716,101786,34461,65728,36058,4988,3391
59791,73790,22147,58992,14798,799,8148
71139,105538,36570,64796,40742,6343,2171
71806,111040,39762,63032,48008,8774,528
71801,111009,39749,63022,47987,8779,541
55483,66698,19610,54956,11742,527,8395
71644,111147,39911,62650,48497,8994,408
70040,99125,33087,65902,33223,4138,4002
49980,58229,16693,49686,8543,294,8444
19106,19879,5163,19106,773,0,4390
69076,95400,31277,65692,29708,3384,4953
71326,105575,36559,64914,40661,6412,2310
71260,118746,45268,56420,62326,14840,-2218
66163,131450,63685,8160,123290,58003,-1602
68518,127841,54779,36566,91275,31952,-4544
71333,117851,44550,57502,60349,13831,-1968
70689,121328,47506,52632,68696,18057,-3133
69658,97663,32397,65738,31925,3920,4392
67950,128589,55978,33266,95323,34684,-4661
71221,119184,45612,55920,63264,15301,-2351
69237,97163,32243,65354,31809,3883,4317
33547,36556,9901,33508,3048,39,6892
71562,107913,37887,64278,43635,7284,1536
71137,119839,46113,55226,64613,15911,-2589
24317,25659,6753,24306,1353,11,5411
60564,75529,22869,59582,15947,982,7904
60730,75416,22769,59756,15660,974,8083
58714,72082,21541,58000,14082,714,8173
18158,18886,4905,18152,734,6,4177
66931,130481,59668,22290,108191,44641,-3882
71799,113678,41512,61308,52370,10491,-367
68202,92797,30081,65270,27527,2932,5486
66233,131349,62994,10722,120627,55511,-2122
71383,106321,36967,64774,41547,6609,2029
69796,97943,32498,65894,32049,3902,4351
67937,92314,29876,65124,27190,2813,5499
40176,44655,12302,40102,4553,74,7823
68507,127705,54567,37142,90563,31365,-4631
68595,93858,30544,65540,28318,3055,5281
71025,105736,36701,64668,41068,6357,1990
66721,89136,28461,64428,24708,2293,6046
67967,91866,29616,65268,26598,2699,5717
65930,86238,27101,64072,22166,1858,6793
71171,104492,35927,65276,39216,5895,2606
69796,124927,50996,45870,79057,23926,-4135
71736,110810,39637,63072,47738,8664,563
40512,45036,12408,40440,4596,72,7884
65245,85172,26722,63456,21716,1789,6795
69987,99347,33268,65622,33725,4365,3908
67307,129934,58456,26044,103890,41263,-4171
59795,74019,22273,58946,15073,849,8049
27087,28868,7667,27068,1800,19,5886
69294,125996,52229,43076,82920,26218,-4473
69070,96430,31868,65388,31042,3682,4508
69923,99084,33124,65672,33412,4251,3963
28429,30417,8105,28414,2003,15,6117
66777,88986,28384,64436,24550,2341,6175
71825,108933,38439,64110,44823,7715,1331
67351,129828,58176,26952,102876,40399,-4301
71189,104768,36099,65140,39628,6049,2520
66246,131322,62852,11236,120086,55010,-2224
70412,100724,33901,65844,34880,4568,3589
10046,10253,2615,10046,207,0,2408
67453,129533,57702,28258,101275,39195,-4378
71450,106139,36850,64878,41261,6572,2161
49666,57620,16458,49408,8212,258,8504
71199,106038,36869,64600,41438,6599,2030
71685,115429,42788,59706,55723,11979,-956
36883,40621,11106,36818,3803,65,7368
71805,115244,42547,60300,54944,11505,-892
70347,100329,33709,65822,34507,4525,3727
35175,38495,10463,35138,3357,37,7143
69948,124692,50672,46696,77996,23252,-4072
49385,57450,16452,49092,8358,293,8387
71578,109636,39003,63260,46376,8318,945
70444,100837,33999,65678,35159,4766,3606
7758,7889,2005,7758,131,0,1874
71297,106175,36906,64726,41449,6571,2028
71918,112172,40455,62524,49648,9394,201
