Points,Edges,Area,Perimeter,Contact_perimeter,TETRAPIXEL,Euler_General_4_Async
3902,4882,1480,3844,1038,58,500
4507,7268,2696,3752,3516,755,-65
1954,2092,558,1952,140,2,420
4280,8214,3695,1648,6566,2632,-239
4499,6517,2220,4154,2363,345,202
3648,4526,1361,3608,918,40,483
4522,6795,2380,4070,2725,452,107
3577,4296,1261,3548,748,29,542
4530,7249,2672,3810,3439,720,-47
4244,8287,3882,1046,7241,3198,-161
4380,5963,1940,4166,1797,214,357
4350,8114,3475,2328,5786,2022,-289
2788,3137,873,2782,355,6,524
4467,6414,2169,4152,2262,315,222
4515,7576,2903,3540,4036,975,-158
4403,6182,2059,4128,2054,275,280
2188,2385,647,2182,203,6,450
1751,1871,498,1750,121,1,378
4560,6894,2423,4096,2798,464,89
3365,4013,1172,3338,675,27,524
4421,6044,1978,4176,1868,245,355
3073,3559,1015,3058,501,15,529
4267,8219,3722,1550,6669,2717,-230
4297,8206,3656,1788,6418,2509,-253
3983,5132,1593,3892,1240,91,444
2339,2560,696,2336,224,3,475
4482,6343,2114,4230,2113,252,253
4527,6621,2276,4138,2483,389,182
1512,1629,437,1510,119,2,320
3615,4393,1303,3574,819,41,525
4431,6219,2069,4162,2057,269,281
4522,6829,2401,4054,2775,468,94
1823,1927,508,1822,105,1,404
4128,5370,1683,4008,1362,120,441
2836,3233,910,2826,407,10,513
4522,7480,2841,3596,3884,926,-117
3523,4250,1252,3492,758,31,525
3844,4875,1496,3766,1109,78,465
4165,5613,1801,4022,1591,143,353
4511,6673,2311,4102,2571,409,149
2842,3231,907,2834,397,8,518
4259,8255,3796,1326,6929,2933,-200
4304,8152,3583,1972,6180,2332,-265
2203,2413,657,2198,215,5,447
4171,5443,1709,4050,1393,121,437
4472,6418,2164,4180,2238,292,218
4521,7303,2710,3766,3537,755,-72
4446,7790,3121,3096,4694,1350,-223
4438,6345,2137,4142,2203,296,230
4273,5802,1868,4132,1670,141,339
4409,7797,3143,3022,4775,1387,-245
4517,7288,2711,3732,3556,785,-60
4181,5513,1746,4042,1471,139,414
963,995,257,962,33,1,225
4339,5910,1920,4140,1770,199,349
4505,7403,2784,3670,3733,835,-114
4500,6774,2372,4060,2714,440,98
4548,7015,2505,4010,3005,538,38
4372,6094,2006,4164,1930,208,284
4324,8083,3490,2206,5877,2118,-269
4535,7311,2703,3810,3501,725,-73
3787,4736,1439,3716,1020,71,490
2197,2400,652,2192,208,5,449
2436,2709,747,2430,279,6,474
4161,5508,1748,4024,1484,137,401
3642,4387,1291,3610,777,32,546
4534,7057,2548,3922,3135,612,25
3342,3922,1134,3308,614,34,554
4376,5908,1906,4192,1716,184,374
4279,5771,1863,4090,1681,189,371
4275,8252,3768,1432,6820,2843,-209
1787,1922,515,1784,138,3,380
654,671,172,654,17,0,155
4518,6678,2319,4080,2598,438,159
4251,8269,3831,1214,7055,3037,-187
4350,6046,1995,4112,1934,238,299
4062,5254,1639,3952,1302,110,447
4250,8270,3833,1208,7062,3042,-187
2936,3333,934,2930,403,6,537
4288,5815,1877,4122,1693,166,350
4468,6328,2112,4208,2120,260,252
3500,4183,1224,3470,713,30,541
4525,6775,2370,4070,2705,455,120
4303,6032,1994,4088,1944,215,265
572,586,150,572,14,0,136
2367,2639,728,2366,273,1,456
4225,8320,4092,272,8048,3953,-3
1594,1691,447,1594,97,0,350
4335,6011,1980,4102,1909,233,304
3811,4805,1471,3726,1079,85,477
3528,4209,1229,3502,707,26,548
4525,7415,2799,3634,3781,891,-91
4522,6408,2149,4220,2188,302,263
2611,2946,822,2604,342,7,487
4123,5339,1668,4006,1333,117,452
4530,7063,2541,3962,3101,568,8
4284,5925,1948,4058,1867,226,307
4413,7993,3302,2778,5215,1635,-278
4445,6409,2180,4098,2311,347,216
4219,5538,1746,4092,1446,127,427
4011,5112,1575,3924,1188,87,474
4535,7361,2744,3746,3615,789,-82
4373,6018,1971,4152,1866,221,326
4398,6164,2043,4156,2008,242,277
4368,5997,1955,4174,1823,194,326
2034,2179,581,2034,145,0,436
4452,6366,2146,4148,2218,304,232
4249,8260,3828,1208,7052,3041,-183
4544,7341,2729,3766,3575,778,-68
4487,6602,2281,4080,2522,407,166
4162,5397,1686,4050,1347,112,451
4164,5402,1687,4056,1346,108,449
4534,6847,2411,4050,2797,484,98
4235,8299,3949,802,7497,3433,-115
4341,8128,3520,2176,5952,2165,-267
2799,3175,891,2786,389,13,515
4528,7387,2767,3706,3681,822,-92
