Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7,Pattern 8,Pattern 9,Pattern 10,Pattern 11,Pattern 12,Pattern 13,Pattern 14,Pattern 15,Pattern 16,Faces_8_Async
90,81,78,57,81,63,65,68,75,68,72,62,60,65,62,42,1557
21,33,32,60,29,74,55,90,43,47,61,97,53,94,100,200,1875
142,87,78,60,79,73,53,59,76,61,85,42,70,43,48,33,1430
822,61,58,5,59,5,5,0,61,2,6,0,4,1,0,0,285
68,61,73,57,60,71,65,69,64,66,55,80,67,67,72,94,1659
175,112,108,52,100,55,56,36,103,55,56,33,69,25,27,27,1289
64,73,66,66,77,75,53,76,72,64,87,58,56,69,75,58,1620
67,71,69,67,69,59,49,74,63,62,67,59,75,59,66,113,1638
90,76,77,66,74,67,64,66,80,67,60,64,65,61,70,42,1562
48,39,45,72,48,60,57,74,42,49,60,88,66,91,77,173,1779
122,94,96,65,95,60,58,51,99,67,54,44,61,43,56,24,1430
311,122,117,41,122,30,44,17,118,44,39,12,40,17,13,2,1002
254,116,105,51,113,48,49,21,116,39,56,20,43,28,21,9,1121
207,114,114,43,116,54,54,27,115,55,55,26,40,28,28,13,1209
2,8,9,45,11,38,13,87,12,19,36,82,39,84,91,513,2055
142,84,82,71,79,65,56,50,87,53,59,51,71,48,53,38,1429
218,102,107,57,106,55,55,24,107,54,49,30,53,29,29,14,1213
96,78,75,66,68,59,55,70,73,56,57,66,78,59,65,68,1562
163,100,104,57,109,69,43,33,101,45,73,35,51,40,34,32,1313
40,45,37,71,42,57,57,91,39,52,68,88,72,93,85,152,1801
6,20,17,60,17,52,30,99,28,34,44,92,52,92,107,339,1980
436,113,111,23,107,40,30,5,117,23,32,10,23,6,9,4,799
982,27,26,0,26,0,1,0,27,0,0,0,0,0,0,0,108
274,105,113,45,112,49,41,21,102,46,51,24,49,23,18,16,1101
70,60,54,73,67,73,59,67,65,57,81,63,55,76,72,97,1651
4,7,7,31,10,34,6,74,9,10,35,70,26,73,76,617,2074
285,115,115,39,109,52,29,28,104,36,57,21,56,15,17,11,1063
134,78,80,71,76,69,57,45,86,52,57,52,67,48,53,64,1458
641,90,84,19,85,12,14,4,90,10,13,2,18,3,4,0,516
23,31,33,54,29,61,47,97,32,41,56,105,57,101,98,224,1893
180,102,95,71,95,65,56,28,102,49,65,28,71,28,28,26,1288
9,21,17,46,20,54,28,108,19,33,59,99,45,102,106,323,1981
14,21,18,50,19,60,27,100,21,32,61,92,49,93,100,332,1961
49,68,52,65,53,73,69,79,61,59,81,73,71,74,72,90,1701
118,81,85,68,81,80,56,42,91,47,66,55,62,51,52,54,1466
36,57,50,76,57,64,57,83,52,53,76,80,74,87,78,109,1745
70,75,73,72,68,73,45,74,69,53,74,64,83,59,68,69,1602
10,18,16,40,13,37,25,98,17,22,35,99,44,96,97,422,2016
81,72,70,78,67,76,55,66,78,53,67,66,75,63,72,50,1581
0,3,4,31,3,32,5,38,4,2,30,42,31,41,39,784,2102
87,84,88,60,89,65,46,65,79,61,71,54,64,55,60,61,1534
14,24,23,46,22,52,29,101,18,24,57,105,53,104,95,322,1959
1007,20,20,1,20,0,0,0,20,0,0,0,1,0,0,0,83
6,9,15,43,11,45,27,96,15,20,35,109,41,105,102,410,2034
27,28,32,51,32,62,37,95,32,41,58,95,47,95,99,258,1891
283,110,109,62,111,47,42,12,115,36,44,17,55,19,17,10,1063
2,12,12,33,17,27,11,96,9,19,35,88,31,93,93,511,2061
468,106,108,17,109,36,27,5,108,24,35,10,14,11,7,4,760
284,106,109,38,103,62,45,23,106,50,56,21,44,15,23,4,1086
327,114,120,40,122,42,40,6,116,37,42,15,36,17,8,7,972
91,78,80,72,82,64,64,56,82,63,62,59,66,61,60,49,1542
0,4,4,27,2,29,2,35,2,3,29,34,31,32,33,822,2108
70,52,45,61,41,76,55,85,52,47,72,86,65,82,85,115,1711
390,111,116,40,117,31,27,9,112,31,31,10,38,11,10,5,872
25,36,37,61,34,73,45,96,39,45,67,97,61,94,99,180,1851
152,90,74,71,76,50,51,60,74,47,68,48,85,50,44,49,1423
109,73,77,64,69,70,70,52,78,66,57,60,67,52,57,68,1534
0,2,2,30,2,32,0,10,2,0,32,10,30,10,10,917,2108
18,34,33,52,24,81,54,93,37,38,69,108,58,99,96,195,1884
103,83,78,76,85,66,65,47,80,53,76,54,72,61,44,46,1501
178,87,81,65,85,70,66,38,91,60,70,38,57,42,42,19,1347
