Points,Edges,Area,Perimeter,Contact_perimeter,TETRAPIXEL,Euler_General_4_Async
1094,1399,433,1066,333,28,128
509,544,145,508,36,1,110
1106,2056,892,544,1512,562,-58
1151,1721,601,1038,683,113,31
1168,1817,656,1010,807,158,7
958,1205,366,946,259,12,119
1156,1867,693,962,905,194,-18
1119,2059,873,626,1433,493,-67
1122,2023,845,666,1357,456,-56
658,742,207,656,86,2,123
1109,1554,517,1040,514,69,72
1157,1907,734,878,1029,279,-16
1170,1760,620,1040,720,130,30
1141,1808,656,992,816,149,-11
1064,1412,447,1036,376,28,99
1141,1710,600,1020,690,121,31
1124,1580,525,1060,520,64,69
1154,1869,689,982,887,172,-26
668,743,205,666,77,2,130
988,1248,381,972,276,16,121
1023,1298,399,1000,298,23,124
1143,1868,702,928,940,215,-23
1153,1826,669,976,850,177,-4
1062,1374,428,1036,338,26,116
140,140,35,140,0,0,35
1160,1661,561,1078,583,82,60
1176,1941,735,942,999,234,-30
1139,1622,546,1060,562,79,63
1019,1288,393,1004,284,15,124
1152,1712,597,1036,676,116,37
1152,1705,588,1058,647,94,35
1155,1671,571,1058,613,97,55
437,462,122,436,26,1,97
1098,2093,940,426,1667,672,-55
1159,1831,676,958,873,201,4
1121,1957,776,810,1147,311,-60
766,903,261,762,141,4,124
1139,1971,784,806,1165,333,-48
1147,1941,756,858,1083,289,-38
703,779,214,702,77,1,138
1137,2016,826,728,1288,409,-53
1144,1909,740,858,1051,286,-25
1163,1821,653,1030,791,133,-5
1071,1408,446,1032,376,39,109
524,562,150,524,38,0,112
1145,1936,754,856,1080,289,-37
1060,1350,415,1040,310,20,125
36,36,9,36,0,0,9
1101,2088,941,412,1676,689,-46
366,385,101,366,19,0,82
1107,1531,504,1046,485,61,80
1039,1384,442,1000,384,39,97
1159,1904,723,916,988,243,-22
1164,1654,553,1096,558,68,63
1098,1463,469,1050,413,48,104
1114,2065,882,602,1463,512,-69
1143,1653,566,1042,611,101,56
411,441,118,410,31,1,88
1163,1885,707,942,943,221,-15
1074,1436,458,1040,396,34,96
1004,1279,393,986,293,18,118
1079,1346,408,1060,286,19,141
1037,1344,420,1008,336,29,113
1050,1382,436,1020,362,30,104
1001,1292,400,984,308,17,109
1151,1760,622,1032,728,119,13
1130,2017,827,726,1291,404,-60
482,517,138,482,35,0,103
1106,1553,517,1038,515,68,70
818,1006,302,804,202,14,114
800,933,267,798,135,2,134
1174,1905,715,950,955,224,-16
578,635,173,578,57,0,116
677,748,205,676,72,1,134
1163,1872,696,960,912,203,-13
1139,1598,530,1076,522,63,71
984,1256,388,960,296,24,116
741,852,242,736,116,5,131
1128,2026,840,692,1334,436,-58
1034,1277,383,1022,255,12,140
1133,1646,560,1052,594,81,47
80,82,21,80,2,0,19
943,1150,343,928,222,15,136
803,901,250,802,99,1,152
1011,1272,386,1000,272,11,125
1089,1461,471,1038,423,51,99
1126,1533,498,1074,459,52,91
1136,1602,534,1068,534,68,68
1154,1817,665,974,843,180,2
1161,1759,624,1022,737,139,26
1143,1754,626,1004,750,139,15
1062,1407,447,1026,381,36,102
1130,1529,494,1082,447,48,95
1098,2105,973,318,1787,780,-34
928,1116,328,920,196,8,140
1030,1282,388,1012,270,18,136
1078,1433,459,1030,403,48,104
735,834,234,732,102,3,135
654,735,204,654,81,0,123
564,620,169,564,56,0,113
1158,1662,562,1076,586,82,58
1148,1843,690,926,917,222,-5
1121,1587,529,1058,529,63,63
1084,1516,506,1008,508,76,74
881,1037,300,874,163,7,144
676,752,207,676,76,0,131
44,44,11,44,0,0,11
1145,1581,516,1098,483,47,80
1079,1427,453,1042,385,37,105
717,809,226,714,95,3,134
785,900,254,784,116,1,139
1104,1612,553,1012,600,92,45
1158,1642,556,1060,582,98,72
1106,2064,905,508,1556,598,-53
1145,1982,781,840,1142,305,-56
910,1115,333,898,217,12,128
1139,1851,694,926,925,213,-18
911,1113,331,902,211,9,129
1139,2018,821,752,1266,387,-58
106,107,27,106,1,0,26
970,1248,387,948,300,22,109
298,309,80,298,11,0,69
1090,2102,996,220,1882,870,-16
1110,1494,478,1076,418,34,94
1131,1754,633,976,778,155,10
987,1322,424,948,374,39,89
810,954,275,808,146,2,131
1129,1969,783,806,1163,323,-57
1125,1651,571,1018,633,107,45
1109,1555,516,1046,509,63,70
634,698,191,632,66,2,127
1144,1995,794,814,1181,330,-57
1185,1748,607,1068,680,117,44
852,1020,300,840,180,12,132
1089,2110,1003,208,1902,881,-18
1119,2061,881,598,1463,521,-61
1105,2075,925,450,1625,655,-45
1155,1875,704,934,941,221,-16
1169,1717,593,1062,655,107,45
1112,1507,487,1066,441,46,92
830,953,270,826,127,4,147
1115,1489,479,1062,427,53,105
853,1018,297,848,170,5,132
855,998,286,852,146,3,143
1039,1343,417,1018,325,21,113
1137,1935,757,842,1093,295,-41
1117,2063,888,574,1489,543,-58
78,79,20,78,1,0,19
66,67,17,66,1,0,16
937,1122,329,928,194,9,144
1154,1683,573,1074,609,80,44
1133,1769,638,986,783,147,2
172,178,46,172,6,0,40
1022,1271,385,1002,269,20,136
810,944,271,804,140,6,137
206,211,54,206,5,0,49
1134,1573,514,1090,483,44,75
794,949,278,786,163,8,123
