Points,Edges,Area,Perimeter,Contact_perimeter,TETRAPIXEL,Euler_General_4_Async
70996,104891,36194,65006,39885,5990,2299
16676,17272,4467,16676,596,0,3871
44666,50659,14199,44522,6137,144,8206
43071,48490,13504,42964,5526,107,8085
71165,103825,35505,65630,38195,5535,2845
48683,56203,15989,48450,7753,233,8469
67684,129107,56844,30838,98269,36846,-4579
2076,2080,521,2076,4,0,517
56654,68585,20276,56066,12519,588,8345
58145,71026,21152,57444,13582,701,8271
67201,89850,28713,64848,25002,2353,6064
71144,104910,36172,65132,39778,6012,2406
68636,93874,30564,65492,28382,3144,5326
67060,89768,28725,64636,25132,2424,6017
59810,74276,22423,58860,15416,950,7957
66050,131578,65332,1828,129750,64222,-196
47324,54175,15308,47118,7057,206,8457
21325,22377,5859,21318,1059,7,4807
67127,130167,58792,25166,105001,41961,-4248
24416,25863,6831,24402,1461,14,5384
70765,103016,35153,65420,37596,5345,2902
62674,79260,24258,61488,17772,1186,7672
67789,129025,56625,31550,97475,36239,-4611
71024,120341,46464,54826,65515,16198,-2853
8220,8342,2116,8220,122,0,1994
71197,102966,35009,65896,37070,5301,3240
70657,121472,47677,52236,69236,18421,-3138
66945,130339,59436,22934,107405,44011,-3958
11554,11827,3025,11554,273,0,2752
56775,68844,20379,56172,12672,603,8310
70505,99823,33384,66110,33713,4395,4066
69681,125054,51108,45676,79378,24005,-4265
71584,106821,37161,64998,41823,6586,1924
64731,83731,26086,63118,20613,1613,7086
31624,34144,9171,31604,2540,20,6651
71047,102883,35009,65730,37153,5317,3173
71780,111951,40356,62478,49473,9302,185
69041,95332,31240,65704,29628,3337,4949
67643,129257,57052,30306,98951,37337,-4562
66639,130797,60747,18606,112191,48033,-3411
70770,101245,34119,66014,35231,4756,3644
71323,105431,36426,65158,40273,6165,2318
71750,113451,41356,61478,51973,10272,-345
66111,131502,64144,6428,125074,59683,-1247
69430,97461,32346,65538,31923,3892,4315
60946,75906,22959,59976,15930,970,7999
68408,127804,54653,36996,90808,31412,-4743
70553,101603,34376,65702,35901,4851,3326
68877,94902,31071,65520,29382,3357,5046
71824,110986,39731,63048,47938,8776,569
6946,7055,1791,6946,109,0,1682
70172,123388,49421,49092,74296,21080,-3795
67277,129827,58247,26666,103161,40611,-4303
61142,76705,23329,60094,16611,1048,7766
71828,113204,41199,61612,51592,10216,-177
71190,106415,37133,64298,42117,6892,1908
71443,117263,44125,58026,59237,13417,-1695
66755,89126,28460,64412,24714,2343,6089
66425,87596,27694,64416,23180,2009,6523
50817,59504,17126,50504,9000,313,8439
70530,101649,34440,65538,36111,4992,3321
66849,88803,28244,64630,24173,2219,6290
64509,83265,25904,62914,20351,1595,7148
71664,111665,40234,62394,49271,9270,233
71430,105443,36401,65282,40161,6148,2388
30670,33028,8852,30648,2380,22,6494
67954,92291,29887,65034,27257,2920,5550
63394,81013,25009,61990,19023,1404,7390
63594,81441,25188,62130,19311,1464,7341
71582,110516,39513,62980,47536,8602,579
69657,124965,51021,45846,79119,23811,-4287
37363,41109,11226,37314,3795,49,7480
68148,92240,29781,65356,26884,2792,5689
27185,28987,7701,27170,1817,15,5899
69173,96001,31598,65610,30391,3563,4770
71589,113825,41706,60826,52999,10763,-530
67317,130004,58452,26200,103804,41117,-4235
67844,128947,56429,32178,96769,35666,-4674
26072,27692,7330,26064,1628,8,5710
67690,129190,57030,30260,98930,37430,-4470
71599,115319,42679,59922,55397,11677,-1041
53074,62863,18257,52698,10165,376,8468
62558,78931,24119,61386,17545,1172,7746
66993,130329,59333,23326,107003,43667,-4003
68175,128457,55562,34666,93791,33509,-4720
70989,120220,46491,54476,65744,16513,-2740
53014,62674,18172,52660,10014,354,8512
71642,111583,40170,62486,49097,9156,229
66247,131355,62990,10750,120605,55497,-2118
71088,104185,35741,65406,38779,5682,2644
69560,125405,51518,44738,80667,24822,-4327
70619,101921,34568,65570,36351,5049,3266
59804,74129,22333,58926,15203,878,8008
70342,123004,48934,50272,72732,20070,-3728
70349,100093,33571,65902,34191,4447,3827
21612,22732,5964,21608,1124,4,4844
66143,131453,63703,8094,123359,58049,-1607
71767,108880,38435,64020,44860,7747,1322
23524,24869,6556,23514,1355,10,5211
68287,92937,30131,65350,27587,2937,5481
69513,97353,32253,65694,31659,3819,4413
70423,101564,34401,65524,36040,4899,3260
62147,78377,23942,60986,17391,1161,7712
70261,123249,49320,49218,74031,21043,-3668
71597,116891,43817,58514,58377,13083,-1477
63532,81319,25121,62154,19165,1378,7334
70492,123012,48861,50580,72432,19912,-3659
67959,128782,56141,33000,95782,34959,-4682
71652,110104,39217,63340,46764,8312,765
628,628,157,628,0,0,157
66395,131126,61906,14628,116498,51767,-2825
71145,106198,36990,64436,41762,6709,1937
68921,95682,31481,65440,30242,3481,4720
44350,50249,14072,44210,6039,140,8173
70493,101095,34138,65638,35457,4855,3536
67576,129303,57196,29822,99481,37754,-4531
64028,82075,25400,62550,19525,1478,7353
71204,119770,46064,55284,64486,15920,-2502
72202,112077,40280,63034,49043,9168,405
32484,35219,9497,32450,2769,34,6762
68379,92489,29833,65646,26843,2733,5723
66824,130564,60042,20960,109604,45864,-3698
50110,58270,16680,49820,8450,290,8520
69754,97551,32262,66054,31497,3700,4465
9820,9990,2540,9820,170,0,2370
71693,109500,38873,63508,45992,8185,1066
70544,100949,34016,65834,35115,4710,3611
70063,99832,33499,65668,34164,4395,3730
42844,48288,13466,42712,5576,132,8022
65453,85354,26761,63664,21690,1789,6860
70472,121672,47840,51984,69688,18488,-3360
54997,65881,19318,54490,11391,507,8434
71573,111875,40443,61978,49897,9595,141
69731,97814,32465,65768,32046,3963,4382
