Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7,Pattern 8,Pattern 9,Pattern 10,Pattern 11,Pattern 12,Pattern 13,Pattern 14,Pattern 15,Pattern 16,Contact_perimeter_8_Async
3,6,9,31,6,38,13,88,5,12,36,92,35,89,87,539,572
155,79,89,79,88,66,64,33,94,67,50,40,65,39,48,33,1032
0,5,3,31,4,26,2,44,2,2,30,42,33,43,41,781,312
138,94,86,52,96,62,74,43,93,64,73,45,43,55,42,29,1060
5,13,14,31,11,37,10,87,10,15,37,83,37,80,84,535,574
99,83,91,68,83,63,61,52,92,62,46,59,67,51,61,51,1062
74,54,63,67,63,71,55,70,58,61,67,73,63,73,74,103,1028
77,62,58,73,64,55,61,73,60,54,63,76,69,82,71,91,1036
314,115,109,53,108,34,45,17,115,40,33,16,54,15,17,4,856
32,55,52,59,51,66,54,84,54,47,66,88,61,87,83,150,1008
40,49,47,68,48,58,54,90,40,58,68,84,76,85,81,143,1018
403,109,103,33,105,29,37,16,104,34,36,13,36,15,11,5,752
138,89,94,66,94,75,65,34,89,63,75,41,66,41,34,25,1054
3,14,14,38,16,41,32,94,13,24,44,102,37,104,93,420,722
52,44,45,49,48,63,48,94,48,48,62,95,42,98,98,155,978
138,81,75,72,81,61,68,48,86,62,62,48,61,54,53,39,1042
347,106,121,27,115,43,30,18,96,38,47,25,43,19,8,6,804
509,109,117,20,114,20,17,2,112,21,14,6,20,3,5,0,618
280,101,113,54,108,43,44,21,102,54,37,23,58,18,22,11,896
153,89,87,60,86,64,62,45,88,63,64,42,62,41,44,39,1022
105,90,81,63,82,80,53,55,90,56,81,43,62,44,55,49,1044
75,64,71,56,63,73,65,66,55,65,74,73,73,65,57,94,1050
47,67,68,75,67,68,52,72,69,54,65,71,74,70,74,96,1052
841,58,54,3,55,2,8,0,58,4,3,0,2,1,0,0,260
570,104,103,10,102,21,14,4,101,12,23,5,14,4,1,1,544
419,110,113,37,111,33,28,6,113,26,28,11,36,9,9,0,724
11,26,32,54,38,56,37,102,33,47,55,98,41,104,109,246,916
140,98,95,80,101,44,60,38,97,59,51,36,75,42,37,36,1032
176,89,85,50,83,59,50,54,81,45,65,55,60,53,46,38,970
84,79,73,63,65,57,67,68,73,52,55,77,77,69,62,68,1056
354,106,110,54,112,27,36,14,105,41,30,13,53,15,13,6,806
67,66,63,62,63,77,70,61,69,59,74,69,59,69,64,97,1054
209,101,109,51,105,69,41,31,101,48,65,32,55,28,31,13,956
75,61,67,69,70,64,63,68,61,62,67,75,66,78,68,75,1064
70,63,58,62,58,75,66,75,58,59,80,77,67,77,70,74,1070
339,108,116,39,117,46,41,8,110,47,45,10,36,11,10,6,832
126,91,102,60,98,67,47,46,95,56,59,48,60,44,50,40,1026
4,12,8,34,12,32,12,81,9,13,39,76,33,80,78,566,544
29,38,42,66,52,67,46,97,46,56,69,91,48,101,105,136,1026
704,84,82,7,83,8,11,0,84,9,9,0,6,1,0,1,404
78,66,70,60,75,70,60,65,66,58,75,71,55,76,65,79,1050
78,67,72,77,75,61,57,60,76,57,55,65,65,68,69,87,1038
14,28,30,50,32,54,34,94,35,30,49,100,41,102,101,295,844
6,25,22,60,30,54,41,93,23,31,64,100,54,108,91,287,868
29,43,45,62,47,54,52,93,37,51,62,96,66,98,87,167,996
286,107,106,54,102,54,44,18,109,40,48,21,56,17,20,7,880
7,16,11,36,14,41,20,98,14,22,46,91,35,94,96,448,676
464,105,107,32,100,32,26,7,106,24,24,11,38,4,8,1,674
327,126,120,47,127,25,42,9,127,38,31,7,39,14,10,0,842
126,84,80,71,77,57,63,55,81,64,57,50,77,47,52,48,1042
30,42,46,54,43,66,57,94,43,58,62,97,56,94,95,152,1022
2,7,7,31,4,30,5,60,5,3,29,62,36,59,58,691,404
61,67,63,69,61,63,58,77,61,58,67,73,77,71,71,92,1052
92,65,71,66,73,63,69,63,65,72,65,66,64,68,63,64,1074
27,40,45,51,46,61,45,93,41,48,61,95,49,96,94,197,958
70,53,63,64,67,55,56,81,54,72,58,75,59,79,82,101,1046
358,108,109,33,106,41,39,17,106,43,40,14,38,11,15,11,802
231,112,98,68,103,46,54,25,113,48,50,17,62,22,26,14,946
239,103,101,49,95,57,56,28,99,56,55,26,59,20,24,22,940
94,72,71,69,78,68,56,62,66,55,81,62,68,69,56,62,1044
106,78,83,79,76,61,72,47,80,59,52,65,84,58,49,40,1074
22,45,54,68,51,59,47,88,45,55,56,89,71,86,88,165,1004
102,76,73,73,86,47,70,59,76,77,60,49,60,62,59,60,1074
41,41,34,70,40,59,54,94,43,56,63,85,62,91,96,160,998
963,29,31,1,31,1,0,0,29,2,1,0,1,0,0,0,128
157,90,93,64,96,56,70,37,89,73,60,37,62,40,36,29,1046
11,28,26,56,25,59,37,103,27,42,59,96,58,95,102,265,892
19,27,36,53,32,62,46,99,25,53,60,101,59,97,97,223,946
503,113,107,19,108,21,26,5,112,22,23,3,19,4,4,0,634
131,92,88,57,81,78,49,55,88,53,75,47,68,40,51,36,1024
120,89,84,76,94,68,62,41,94,58,73,40,61,50,46,33,1056
44,52,54,64,49,64,52,82,53,51,58,85,68,80,83,150,998
2,15,16,41,18,42,12,98,17,22,42,89,37,91,100,447,674
38,55,46,59,46,84,66,85,52,53,87,89,62,89,82,96,1074
234,101,111,49,107,55,58,18,103,52,49,34,51,30,20,17,948
68,79,70,69,71,70,77,60,79,75,71,53,68,54,60,65,1108
156,111,110,59,105,53,55,36,104,48,55,42,71,37,29,18,1018
178,103,110,58,101,65,47,32,98,49,61,37,72,28,27,23,984
33,38,37,62,45,61,50,97,38,61,69,85,54,93,97,169,998
109,86,86,71,94,50,65,52,85,71,59,46,64,54,51,46,1070
29,34,43,65,43,55,48,95,39,45,50,107,60,107,100,169,984
118,72,84,87,92,67,50,47,77,65,70,44,74,52,52,38,1048
39,36,47,74,47,68,56,79,44,49,60,97,66,97,87,143,1012
312,123,122,35,120,36,42,18,123,49,34,10,37,8,18,2,866
326,107,114,44,112,45,35,15,107,38,43,19,46,17,15,6,830
6,20,14,64,28,36,38,97,18,26,52,103,52,117,95,323,824
299,115,106,57,113,33,44,18,116,42,39,11,49,18,19,10,866
63,59,69,79,65,69,56,67,76,56,48,77,66,73,84,82,1056
0,1,1,31,1,31,0,15,1,0,31,15,31,15,15,901,188
559,102,92,25,95,17,24,4,102,16,20,2,22,5,4,0,570
141,94,94,66,97,74,51,40,101,50,70,41,56,44,47,23,1026
701,78,86,10,86,8,5,2,77,15,9,0,11,0,1,0,408
748,72,73,11,73,7,5,1,71,6,8,1,12,1,0,0,352
9,20,16,36,15,49,19,101,15,19,53,97,42,96,96,406,712
5,15,14,50,21,45,16,100,14,22,53,93,44,100,99,398,724
105,90,75,61,80,67,56,63,85,49,77,55,61,60,58,47,1042
206,114,106,45,105,59,57,28,112,50,60,27,48,26,26,20,970
0,3,3,29,4,30,0,27,4,1,30,26,27,27,28,850,240
35,46,49,54,50,63,50,91,49,50,61,94,50,95,94,158,996
23,54,46,66,39,67,64,81,47,44,67,93,80,86,74,158,1016
41,46,44,65,56,64,53,78,49,44,73,85,50,97,81,163,982
133,82,82,73,85,58,59,52,83,60,60,51,69,54,53,35,1040
6,9,8,46,13,29,18,83,13,15,30,85,37,90,87,520,596
46,55,47,75,60,59,65,82,53,62,74,77,64,90,80,100,1070
110,88,82,74,74,62,59,55,88,55,54,53,82,45,55,53,1040
401,120,108,39,108,25,38,9,119,25,26,10,40,10,8,3,748
166,97,98,70,104,48,50,37,92,49,59,39,69,45,32,34,988
42,56,47,65,51,63,58,82,53,45,70,86,64,90,79,138,1012
43,52,52,84,55,49,61,80,50,54,54,87,83,90,78,117,1044
