N0,N1,N2,Volume,Enclosing_surface,Contact_surface,TETRAVOXEL,OCTOVOXEL,MISC_Async
737,1943,1584,404,744,840,455,45,-26.0
554,897,482,86,448,34,1,0,53.0
728,1943,1718,499,442,1276,1059,278,4.0
738,1934,1565,398,742,823,450,54,-29.0
744,1258,703,130,626,77,6,0,59.0
845,1942,1385,313,892,493,158,3,-25.0
859,1704,1077,220,834,243,36,1,12.0
866,1851,1233,262,894,339,63,0,-14.0
436,720,393,71,360,33,0,0,38.0
874,1884,1275,276,894,381,96,2,-11.0
224,356,188,33,178,10,0,0,23.0
618,1047,585,108,522,63,3,0,48.0
890,1749,1100,224,856,244,37,0,17.0
810,1487,885,172,738,147,11,0,36.0
774,1367,790,150,680,110,7,0,47.0
857,1830,1232,266,868,364,94,3,-7.0
828,1594,984,197,786,198,22,0,21.0
276,424,217,37,212,5,0,0,32.0
781,1911,1427,335,844,583,223,13,-38.0
728,1941,1717,501,428,1289,1085,294,3.0
784,1962,1507,364,830,677,302,24,-35.0
860,1629,997,199,800,197,29,2,29.0
506,809,430,76,404,26,1,0,51.0
774,1964,1516,366,836,680,292,18,-40.0
806,1601,1011,206,786,225,29,0,10.0
817,1973,1442,331,898,544,177,9,-45.0
818,1957,1428,328,888,540,181,8,-39.0
726,1940,1677,463,576,1101,788,150,0.0
729,1944,1724,505,418,1306,1108,303,4.0
802,1890,1360,308,872,488,146,2,-36.0
774,1971,1549,383,800,749,371,36,-31.0
736,1957,1655,446,634,1021,689,126,-12.0
787,1895,1416,334,828,588,239,11,-26.0
751,1945,1538,381,790,748,365,35,-37.0
731,1932,1647,451,588,1059,756,153,-5.0
900,1901,1263,269,912,351,77,2,-7.0
650,1097,610,112,548,62,1,0,51.0
795,1991,1553,383,808,745,375,39,-26.0
857,1815,1213,260,866,347,83,1,-5.0
846,1511,882,169,750,132,11,0,48.0
829,1833,1266,279,858,408,117,5,-17.0
820,1678,1090,228,812,278,54,0,4.0
862,1767,1146,239,858,288,51,0,2.0
856,1855,1257,272,882,375,91,2,-14.0
856,1556,920,178,772,148,12,0,42.0
528,870,475,86,434,41,2,0,47.0
792,1895,1388,321,850,538,195,14,-36.0
800,1829,1288,287,854,434,121,2,-28.0
795,1982,1500,356,864,636,254,17,-43.0
851,1832,1235,266,874,361,84,1,-12.0
732,1945,1685,469,556,1129,833,170,3.0
847,1826,1227,263,876,351,74,1,-15.0
725,1950,1704,481,522,1182,906,207,-2.0
846,1697,1079,221,832,247,33,0,7.0
746,1954,1621,425,692,929,570,78,-12.0
729,1944,1720,501,434,1286,1076,287,4.0
825,1766,1184,254,844,340,78,3,-11.0
806,1443,844,162,716,128,11,0,45.0
864,1816,1208,258,868,340,80,0,-2.0
731,1943,1688,472,544,1144,855,179,4.0
670,1145,643,119,572,71,1,0,49.0
825,1947,1396,315,902,494,143,5,-41.0
729,1943,1724,508,400,1324,1143,325,2.0
804,1919,1430,338,832,598,255,18,-23.0
823,1904,1351,303,884,467,136,5,-33.0
554,889,474,84,444,30,1,0,55.0
849,1765,1154,242,856,298,53,1,-4.0
794,1463,875,171,724,151,15,0,35.0
854,1577,941,183,784,157,9,0,35.0
729,1948,1594,408,740,854,468,55,-33.0
806,1717,1147,245,824,323,69,0,-9.0
726,1943,1664,452,616,1048,711,120,-5.0
734,1928,1612,429,650,962,628,106,-11.0
870,1778,1157,243,856,301,66,2,6.0
732,1961,1630,426,704,926,553,78,-25.0
486,773,409,72,386,23,1,0,50.0
771,1961,1506,361,846,660,269,15,-45.0
834,1783,1193,255,856,337,71,0,-11.0
765,1905,1451,347,820,631,265,17,-36.0
880,1821,1195,253,872,323,77,6,1.0
729,1942,1722,508,396,1326,1150,331,1.0
884,1827,1194,251,882,312,63,2,0.0
828,1902,1351,304,878,473,146,4,-27.0
813,1912,1377,313,876,501,160,7,-35.0
729,1942,1718,499,442,1276,1058,275,6.0
814,1591,996,202,780,216,31,0,17.0
827,1734,1138,239,842,296,50,1,-8.0
780,1406,826,159,698,128,10,0,41.0
606,1027,574,106,512,62,3,0,47.0
796,1460,869,169,724,145,12,0,36.0
833,1683,1085,226,814,271,55,1,9.0
828,1634,1028,209,802,226,30,0,13.0
460,748,403,72,374,29,0,0,43.0
854,1928,1352,301,898,454,132,2,-23.0
729,1945,1660,449,626,1034,693,113,-5.0
749,1966,1581,398,774,807,418,43,-34.0
884,1854,1218,256,900,318,54,0,-8.0
832,1829,1258,276,860,398,109,2,-15.0
725,1942,1645,438,662,983,618,83,-10.0
828,1845,1277,281,868,409,109,2,-21.0
727,1937,1715,501,424,1291,1089,295,4.0
722,1949,1674,457,606,1068,737,136,-10.0
851,1734,1120,233,842,278,50,1,4.0
488,850,485,91,424,61,2,0,32.0
897,1863,1217,255,904,313,55,1,-4.0
848,1827,1248,274,852,396,123,6,-5.0
816,1526,921,181,756,165,14,0,30.0
728,1939,1705,488,482,1223,975,234,6.0
816,1776,1213,265,836,377,104,4,-12.0
809,1912,1380,314,876,504,160,7,-37.0
807,1623,1045,218,782,263,59,3,11.0
817,1793,1226,267,850,376,93,1,-17.0
836,1815,1224,263,870,354,75,2,-18.0
859,1826,1222,262,872,350,82,1,-7.0
747,1937,1550,390,760,790,417,47,-30.0
720,1262,723,136,630,93,2,0,45.0
746,1311,757,144,650,107,11,0,48.0
872,1644,996,196,816,180,12,0,28.0
729,1944,1726,510,392,1334,1160,335,1.0
272,424,220,38,212,8,0,0,30.0
772,1961,1524,371,822,702,317,22,-36.0
876,1804,1179,248,870,309,64,0,3.0
512,828,444,79,414,30,0,0,49.0
788,1940,1458,344,852,606,236,12,-38.0
828,1590,982,197,782,200,26,0,23.0
826,1877,1312,290,884,428,109,0,-29.0
674,1179,675,127,588,87,3,0,43.0
664,1118,623,115,556,67,6,0,54.0
799,1954,1466,346,856,610,242,13,-35.0
781,1962,1516,369,818,698,326,31,-34.0
742,1952,1608,418,708,900,536,74,-20.0
688,1140,624,113,570,54,0,0,59.0
826,1579,973,195,776,197,27,0,25.0
852,1865,1276,279,878,398,109,6,-16.0
733,1957,1651,439,668,983,621,89,-12.0
867,1818,1192,250,884,308,50,1,-9.0
859,1798,1178,247,874,304,50,1,-8.0
800,1470,877,171,728,149,14,0,36.0
882,1834,1208,256,880,328,74,2,0.0
826,1944,1402,319,890,512,164,6,-35.0
894,1807,1148,234,892,256,23,0,1.0
606,1001,547,99,500,47,1,0,53.0
480,776,416,74,388,28,0,0,46.0
736,1949,1643,439,652,991,645,102,-9.0
884,1828,1197,252,882,315,64,0,1.0
802,1455,857,165,724,133,7,0,39.0
720,1240,704,132,616,88,8,0,52.0
716,1272,739,141,632,107,8,0,42.0
867,1688,1061,217,820,241,48,1,23.0
688,1182,669,125,588,81,6,0,50.0
580,932,497,88,466,31,0,0,57.0
72,108,54,9,54,0,0,0,9.0
724,1935,1686,471,546,1140,843,170,4.0
729,1944,1725,508,402,1323,1140,323,2.0
842,1886,1308,288,888,420,110,2,-24.0
300,464,239,41,232,7,0,0,34.0
791,1896,1389,321,852,537,192,13,-37.0
754,1976,1609,414,734,875,508,74,-27.0
835,1752,1155,244,846,309,60,1,-6.0
730,1937,1685,473,532,1153,873,188,5.0
880,1766,1135,236,854,281,58,0,13.0
790,1915,1446,345,822,624,271,16,-24.0
812,1574,978,197,774,204,26,0,19.0
863,1900,1305,286,894,411,112,5,-18.0
886,1707,1054,211,842,212,23,0,22.0
528,856,460,82,428,32,0,0,50.0
735,1953,1611,418,714,897,525,71,-25.0
738,1309,758,144,652,106,5,0,43.0
813,1912,1381,315,872,509,168,7,-33.0
725,1951,1666,450,632,1034,687,113,-10.0
815,1773,1202,260,844,358,85,3,-16.0
462,787,442,82,392,50,3,0,35.0
