Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7,Pattern 8,Pattern 9,Pattern 10,Pattern 11,Pattern 12,Pattern 13,Pattern 14,Pattern 15,Pattern 16,Contact_perimeter_8_Async
36,49,54,77,60,59,61,75,51,49,63,92,69,98,77,119,1044
2,9,5,39,9,32,13,75,4,10,41,74,40,78,70,588,522
18,30,27,53,26,47,37,104,29,41,47,97,55,96,103,279,870
15,25,23,40,21,54,45,101,23,38,54,106,44,104,99,297,860
103,76,68,78,74,67,57,56,77,56,72,49,71,55,57,73,1026
135,86,89,54,82,75,56,49,91,52,63,56,56,49,54,42,1020
316,108,113,33,108,57,46,12,107,41,53,22,39,17,11,6,854
267,106,105,52,106,59,47,15,114,36,52,25,43,26,23,13,892
16,31,32,55,30,65,37,93,30,35,64,96,58,94,92,261,884
84,69,54,66,63,69,65,76,69,67,78,59,57,68,76,69,1068
53,66,54,59,56,63,55,85,57,50,74,78,66,80,76,117,1024
0,5,4,34,8,34,7,65,6,10,37,61,29,65,66,658,448
79,73,62,72,72,64,74,68,74,75,73,56,61,66,69,51,1108
3,5,6,26,6,35,2,59,10,4,30,58,21,58,64,702,390
21,33,26,59,25,56,48,96,28,43,60,94,65,93,91,251,908
973,27,27,1,27,1,2,0,27,2,1,0,1,0,0,0,120
165,107,98,63,108,46,58,39,100,59,63,29,60,39,32,23,1018
50,65,74,73,75,76,60,60,69,58,73,71,68,72,64,81,1076
112,80,91,51,83,83,54,57,78,70,77,52,61,44,55,41,1060
9,29,29,56,22,50,42,99,27,35,45,106,65,99,97,279,878
175,112,113,56,118,62,48,28,117,53,62,24,46,29,33,13,1002
229,106,112,62,103,47,53,23,112,50,32,32,65,23,29,11,952
25,28,34,57,34,63,48,94,39,49,52,99,46,99,105,217,944
97,78,93,66,90,76,52,50,79,60,72,57,68,54,51,46,1058
859,52,54,4,54,1,3,0,52,5,1,0,4,0,0,0,238
44,74,65,70,74,63,66,72,68,64,78,65,67,74,66,79,1096
186,111,90,58,93,42,66,42,96,59,60,28,70,31,27,30,998
26,33,27,53,30,53,29,103,24,30,65,96,59,99,94,268,854
2,16,11,40,22,45,32,96,17,27,55,96,28,107,97,398,748
368,104,106,42,102,47,34,14,106,37,41,13,44,9,16,6,786
122,70,68,76,81,58,69,53,73,69,68,51,60,64,56,51,1054
305,110,116,33,116,56,42,15,120,48,46,15,23,15,25,4,870
3,4,8,36,8,35,12,83,13,10,26,89,27,89,92,554,554
71,78,73,76,83,65,60,64,80,63,73,56,64,66,66,51,1090
21,37,23,60,38,49,44,99,30,43,71,86,52,101,92,243,912
51,49,52,67,43,65,50,91,51,65,54,79,74,70,93,135,1018
128,87,93,71,96,56,55,48,87,56,59,53,68,56,48,28,1044
2,19,17,33,14,31,17,92,14,15,33,92,41,89,87,493,626
244,118,105,43,104,51,57,26,119,45,49,25,43,24,27,9,938
202,87,96,74,95,59,50,33,86,57,59,35,76,34,32,14,980
125,89,88,67,79,60,56,58,92,65,48,48,73,39,61,41,1044
543,97,101,21,99,23,22,3,99,21,19,8,21,6,5,1,588
20,28,24,69,34,63,36,93,35,29,66,96,52,106,100,238,896
54,64,60,70,60,78,49,81,61,59,81,67,73,67,78,87,1056
82,63,63,77,66,80,51,64,66,57,80,58,71,61,67,83,1032
84,68,80,64,78,81,52,61,71,64,76,61,63,59,64,63,1058
159,84,90,68,81,70,73,28,92,58,53,49,69,40,36,39,1022
139,102,90,68,94,63,67,40,108,60,61,35,58,39,46,19,1058
62,69,69,58,68,78,61,66,68,60,78,67,60,66,65,94,1054
336,108,120,48,120,44,33,6,117,38,35,13,39,13,15,4,820
267,112,120,38,116,54,41,19,118,44,44,24,36,20,25,11,896
183,105,110,46,108,68,56,27,107,51,64,37,46,35,29,17,996
399,109,114,35,119,29,31,8,107,38,36,6,32,11,6,9,750
4,11,15,41,12,51,20,101,12,21,47,104,43,101,102,404,722
45,60,58,70,57,64,57,83,61,53,62,85,70,84,84,96,1058
149,95,80,75,84,56,66,48,92,61,63,38,74,42,45,21,1046
292,111,102,47,98,48,50,21,116,39,39,23,46,19,26,12,874
166,87,102,74,105,56,53,34,98,68,48,34,60,37,45,22,1022
4,11,14,33,9,39,14,85,12,17,33,85,37,80,86,530,586
23,32,39,74,36,67,49,83,37,46,59,93,72,90,88,201,960
168,88,88,67,89,64,49,41,88,46,65,44,66,45,41,40,976
281,118,108,44,106,40,43,28,112,40,44,21,52,19,22,11,880
70,66,66,69,67,68,57,70,67,55,68,72,67,73,71,83,1048
76,67,85,52,82,75,66,58,62,59,77,83,60,80,53,54,1084
324,118,124,36,122,38,40,11,118,44,36,13,38,11,11,5,844
337,119,122,35,114,46,35,11,122,34,35,15,40,7,14,3,818
143,94,93,59,90,71,58,44,102,55,60,46,54,43,52,25,1034
32,53,40,83,49,56,62,86,53,57,65,78,74,87,86,128,1048
25,31,33,56,31,51,38,88,32,40,48,88,57,86,89,296,846
521,95,104,28,104,31,14,2,100,20,26,5,23,5,7,4,598
147,96,101,58,100,70,46,44,98,56,67,39,57,38,46,26,1018
799,65,65,10,66,2,2,0,65,2,3,0,9,1,0,0,294
339,113,114,40,112,39,39,15,110,41,40,14,45,12,12,4,826
17,33,36,51,32,67,47,102,28,38,68,114,60,110,97,189,968
0,1,2,31,2,31,0,7,3,1,29,7,29,7,9,930,160
342,116,119,41,119,40,29,11,114,27,42,16,43,16,9,5,798
229,105,107,60,108,45,40,33,98,44,53,31,66,32,26,12,932
1,10,9,43,13,48,20,90,13,19,49,90,36,94,93,461,666
9,22,22,43,19,43,27,107,15,32,47,102,53,99,100,349,790
113,78,79,78,78,65,66,51,77,65,65,53,80,52,50,39,1068
1,3,4,37,4,33,4,51,7,4,29,52,33,52,55,720,376
13,31,20,66,28,36,31,109,23,35,52,94,66,102,101,282,860
12,28,35,56,31,55,32,96,33,35,46,100,55,96,101,278,866
2,18,12,34,16,36,26,86,14,13,44,93,34,97,82,482,644
92,69,71,74,69,66,68,58,77,56,56,72,68,70,66,57,1064
351,108,109,37,106,42,46,11,109,35,38,23,39,20,12,3,816
1,6,6,36,5,39,9,76,7,9,37,76,36,75,77,594,512
392,100,102,44,100,45,26,13,107,21,36,20,39,18,20,6,738
319,117,117,41,116,45,34,14,121,33,40,15,38,14,18,7,830
9,11,16,45,15,45,11,91,18,18,37,89,39,88,98,459,650
0,2,2,33,2,30,2,25,2,1,30,26,33,26,25,850,242
16,27,35,55,24,69,46,95,33,45,52,104,60,93,101,234,930
90,92,81,64,81,62,68,58,82,67,72,48,74,48,48,54,1080
105,79,73,72,76,62,50,61,76,49,68,56,72,59,58,73,1010
67,46,51,72,51,80,53,70,55,44,71,84,63,84,79,119,1000
685,81,86,9,86,13,9,1,82,15,12,0,8,0,2,0,428
119,91,87,68,84,50,67,54,83,63,55,54,79,51,46,38,1062
1081,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,8
11,18,17,51,17,42,24,101,15,31,45,93,54,93,98,379,754
30,43,48,54,45,64,52,90,49,48,55,99,51,96,96,169,990
64,56,52,57,58,89,66,68,61,56,90,74,46,80,73,99,1048
943,35,35,0,35,2,1,0,35,1,2,0,0,0,0,0,148
6,14,16,46,19,46,24,96,17,28,46,94,40,97,99,401,734
715,83,86,7,85,5,5,0,83,7,4,1,8,0,0,0,386
684,91,84,5,85,10,9,4,87,6,15,0,8,1,0,0,420
93,73,74,79,70,70,64,57,81,64,58,58,75,54,65,54,1070
19,38,39,50,32,76,48,92,46,40,61,101,49,94,100,204,954
464,109,115,32,114,16,22,9,108,31,16,6,34,5,8,0,678
12,23,35,58,36,64,39,89,37,33,51,107,43,108,103,251,898
42,49,44,66,44,69,46,91,49,42,69,90,66,90,91,141,994
2,19,19,47,18,53,30,106,17,28,54,108,50,107,104,327,818
241,109,105,47,95,50,49,33,104,45,45,33,62,23,28,20,922
338,118,114,34,121,37,36,16,110,36,52,12,35,19,8,3,820
263,108,98,58,105,47,55,21,113,44,49,22,46,29,26,5,920
22,31,34,54,34,58,49,95,31,38,58,109,54,109,95,218,936
19,24,23,52,24,45,34,105,21,34,49,104,54,105,102,294,844
75,61,57,82,68,75,60,60,65,50,82,66,67,77,64,80,1044
33,43,50,62,39,73,41,94,42,55,63,87,74,76,93,164,988
121,95,92,66,95,67,55,46,88,60,77,38,70,41,39,39,1044
23,43,49,57,44,68,40,92,51,45,55,93,54,88,100,187,964
239,100,107,62,117,49,49,21,106,58,53,19,46,29,27,7,950
111,75,72,82,85,63,54,54,81,55,70,50,63,63,60,51,1036
109,95,83,65,89,78,61,48,92,59,87,38,62,44,45,34,1066
955,31,33,1,33,1,0,0,31,2,1,0,1,0,0,0,136
478,112,109,20,112,17,28,11,104,33,28,3,25,6,3,0,672
26,33,32,67,39,66,34,100,39,41,67,92,54,99,106,194,944
42,46,49,62,46,63,57,90,46,53,60,97,65,94,90,129,1028
435,111,114,28,113,36,23,6,113,25,33,7,27,6,8,4,698
257,114,120,48,115,49,43,18,111,44,47,23,56,18,15,11,908
10,29,30,56,29,54,51,104,28,51,54,105,58,104,103,223,958
2,9,11,41,14,40,9,91,14,22,38,80,33,83,96,506,612
285,106,110,50,108,45,41,22,104,42,45,25,54,23,20,9,878
42,61,62,64,60,74,63,70,71,56,62,78,56,76,80,114,1052
120,82,91,81,94,61,62,37,86,59,60,49,74,52,41,40,1050
482,110,109,19,104,28,22,10,105,21,28,10,29,5,5,2,648
129,86,79,67,80,75,76,39,91,64,71,44,61,45,44,38,1062
2,13,9,32,10,38,17,89,11,14,41,88,33,89,87,516,602
58,46,54,63,53,67,57,79,53,60,59,84,57,83,86,130,1018
253,110,116,41,101,64,42,24,106,40,53,32,60,17,20,10,908
67,60,62,75,60,57,49,81,62,51,53,81,75,79,83,94,1028
2,6,5,39,8,31,5,74,6,8,34,70,36,73,74,618,482
54,68,73,61,77,53,64,74,68,69,57,74,57,78,74,88,1080
712,78,82,9,81,14,4,0,78,7,13,1,10,0,0,0,388
63,60,63,65,58,67,49,80,67,58,55,74,63,69,87,111,1022
1,4,5,37,5,29,4,60,5,9,28,56,36,56,61,693,408
74,54,64,68,69,78,57,64,59,58,78,73,58,78,69,88,1042
142,101,104,60,102,60,51,45,95,62,64,37,68,35,39,24,1036
177,107,103,62,100,65,53,34,105,55,64,28,67,25,32,12,1008
63,56,59,68,61,73,51,79,54,60,77,73,68,75,77,95,1042
2,4,4,27,2,29,0,12,2,0,29,12,31,10,10,915,172
459,103,111,32,109,29,27,5,104,34,26,6,33,4,6,1,690
136,91,84,70,94,64,64,41,92,63,73,35,59,45,42,36,1044
95,88,95,64,87,66,62,50,87,63,59,56,73,48,49,47,1072
25,41,40,59,38,49,50,101,37,48,51,102,65,100,97,186,976
3,6,6,29,6,31,10,59,6,3,31,66,29,66,59,679,420
321,122,122,30,120,36,41,17,120,45,36,13,34,11,15,6,848
0,9,11,26,4,46,4,78,4,9,44,75,38,68,73,600,502
23,31,29,60,29,58,35,102,35,40,54,95,56,95,106,241,900
41,46,45,69,45,74,48,82,51,48,69,81,64,81,87,158,986
9,21,18,49,19,40,31,93,19,17,43,104,50,105,91,380,748
26,40,42,63,38,57,42,92,41,38,52,98,66,94,93,207,936
413,117,109,38,113,23,32,11,118,31,26,4,33,8,12,1,738
37,41,49,78,50,60,45,85,45,52,57,86,73,87,89,155,994
111,76,82,80,76,76,52,45,87,50,59,53,75,47,56,64,1016
223,103,114,48,108,62,42,29,108,56,51,26,49,20,34,16,948
332,116,112,44,109,39,42,14,120,40,32,12,43,9,18,7,832
400,106,111,43,112,38,26,6,109,27,36,10,39,11,9,6,736
730,78,80,5,81,8,5,1,77,8,10,0,5,1,0,0,372
233,106,105,55,110,55,48,24,106,47,60,24,50,29,24,13,938
161,107,97,56,103,54,58,41,101,55,66,34,56,40,35,25,1016
0,12,10,37,8,40,24,90,7,19,43,93,44,91,85,486,646
79,71,63,62,66,61,54,79,69,65,66,60,61,63,77,93,1036
92,84,71,68,76,60,60,62,87,53,62,56,60,61,65,72,1038
4,20,16,40,23,47,34,108,14,35,60,103,39,110,102,334,820
7,24,19,55,25,50,29,104,21,47,59,81,52,87,101,328,830
9,25,22,48,17,65,31,105,21,26,64,107,57,102,101,289,848
371,111,107,29,115,39,43,12,111,41,47,10,21,18,12,2,800
385,118,114,27,112,41,34,11,119,31,38,10,28,8,12,1,768
61,56,56,71,54,67,72,71,57,67,64,76,72,74,72,99,1068
185,96,105,56,107,66,60,24,101,60,63,33,49,35,29,20,1004
321,116,113,35,111,46,39,17,108,34,52,19,45,17,9,7,834
67,70,61,79,54,70,58,71,75,55,58,65,81,58,76,91,1044
384,104,109,42,107,43,32,6,110,28,35,15,38,13,12,11,754
70,73,56,70,60,62,64,78,67,67,72,58,72,62,72,86,1064
185,111,107,62,106,62,48,25,113,37,59,32,61,31,27,23,966
90,67,77,73,87,59,57,62,62,75,74,54,68,64,57,63,1068
58,57,64,66,59,74,47,77,49,52,77,79,79,74,69,108,1022
33,39,47,66,35,65,47,85,40,42,52,98,77,86,86,191,954
179,97,95,62,88,62,61,35,101,51,51,43,65,36,39,24,998
866,47,51,4,50,6,2,0,48,5,4,1,4,0,1,0,230
48,59,45,59,57,63,70,84,53,63,81,77,53,89,78,110,1064
246,122,123,46,115,38,51,23,115,54,37,21,61,13,16,8,940
30,50,45,67,36,55,53,92,48,43,48,97,78,88,90,169,986
16,39,38,53,26,69,36,96,36,33,60,98,68,86,93,242,900
35,47,46,57,44,65,63,93,53,66,57,89,53,87,99,135,1048
55,55,50,62,55,60,69,86,49,67,71,83,63,88,80,96,1074
176,90,90,79,93,69,62,25,96,54,66,33,70,36,31,19,1010
161,96,93,52,87,68,58,42,100,51,58,46,54,40,46,37,1000
150,85,87,56,89,70,63,41,84,63,73,43,55,45,40,45,1020
149,90,85,65,86,51,78,44,85,72,57,45,69,46,39,28,1062
312,115,126,32,123,40,37,18,110,50,42,16,40,13,13,2,862
50,47,46,63,47,63,47,81,42,44,69,83,67,84,76,180,950
112,78,85,72,80,77,49,55,83,65,67,46,72,41,60,47,1044
3,6,9,39,7,44,9,82,10,11,38,83,37,81,86,544,562
400,119,107,28,108,33,33,16,119,27,34,10,27,11,16,1,748
145,90,100,61,101,67,46,45,88,59,70,42,62,43,43,27,1022
1053,9,9,0,9,0,0,0,9,0,0,0,0,0,0,0,36
79,70,75,76,69,75,58,60,77,63,62,60,75,54,67,69,1062
35,43,40,51,36,74,50,97,34,44,79,100,64,96,88,158,990
303,110,120,41,125,42,38,14,112,47,45,15,34,20,16,7,864
204,106,97,67,108,45,56,31,106,59,56,19,56,30,31,18,982
251,95,98,59,100,55,40,28,95,39,57,32,57,34,28,21,896
132,86,77,52,73,75,58,57,87,49,70,57,55,53,58,50,1014
17,25,28,54,26,57,31,112,26,38,54,108,55,106,113,239,902
136,101,93,60,90,52,66,48,100,60,50,46,64,43,47,33,1046
71,72,66,67,64,68,53,67,72,43,66,71,69,69,67,104,1010
112,67,83,77,83,63,49,52,78,58,52,59,66,59,63,68,1016
88,66,61,84,77,69,56,57,65,49,86,59,69,75,56,72,1034
36,53,57,54,43,72,60,89,46,57,65,96,75,82,82,122,1048
80,66,65,79,71,58,63,67,57,64,73,65,82,71,58,70,1066
155,89,90,60,86,76,60,40,89,53,72,48,64,44,40,23,1024
461,107,111,26,112,31,25,4,110,23,29,10,22,11,7,0,676
833,58,61,2,61,3,1,1,57,5,4,0,3,0,0,0,262
791,65,65,10,67,4,3,0,67,3,4,0,6,2,2,0,304
74,65,65,52,58,87,59,67,63,47,82,79,61,72,65,93,1028
146,88,85,78,85,71,55,43,88,62,71,33,78,33,43,30,1030
33,42,52,64,53,70,56,82,42,69,71,79,63,80,82,151,1030
88,78,73,66,70,80,74,56,81,64,74,61,66,58,59,41,1098
76,62,63,79,65,66,47,75,74,54,56,69,65,71,87,80,1034
150,101,93,52,103,59,59,45,96,61,74,35,47,45,40,29,1030
7,20,27,34,14,56,35,97,16,32,47,107,51,94,93,359,790
116,89,81,59,79,56,56,60,86,49,57,59,64,57,57,64,1014
230,96,104,56,108,60,40,30,99,56,61,22,49,26,33,19,936
46,49,35,67,46,59,44,95,38,51,81,74,67,85,84,168,970
37,38,42,57,38,73,52,86,38,47,69,95,61,91,86,179,972
334,114,113,38,112,40,40,15,114,37,39,17,39,16,15,6,826
55,55,60,68,49,77,60,72,59,50,62,87,75,76,76,108,1036
126,76,81,69,81,71,51,56,74,59,73,53,71,53,54,41,1032
104,85,90,67,90,59,59,51,81,52,63,63,71,63,47,44,1052
762,65,66,8,67,15,6,1,66,7,15,1,6,2,2,0,340
6,12,9,37,9,37,15,94,6,19,43,87,43,87,88,497,620
0,4,4,26,1,32,0,32,1,0,32,32,32,29,29,835,254
86,81,81,48,69,89,72,53,82,59,76,66,59,54,54,60,1074
30,47,42,71,38,56,61,87,41,58,58,85,81,81,81,172,1006
104,77,87,70,85,70,54,50,75,57,70,57,74,55,48,56,1040
51,64,75,72,73,63,69,67,60,74,65,73,78,71,63,71,1110
4,11,4,41,13,26,6,69,7,7,39,61,36,70,65,630,468
12,15,20,36,13,49,34,94,15,30,42,103,43,96,94,393,748
121,86,91,65,79,62,59,51,87,61,49,54,76,42,52,54,1034
452,102,109,31,110,39,17,7,101,21,41,10,31,11,6,1,674
83,82,74,61,69,64,65,66,75,59,66,64,73,59,59,70,1060
7,17,16,47,17,51,23,99,18,24,51,97,45,98,100,379,750
385,107,112,37,115,40,29,11,108,39,42,6,33,9,12,4,768
301,113,115,41,120,42,41,18,112,48,48,13,37,18,17,5,872
3,23,17,42,14,50,19,106,21,24,49,95,47,92,104,383,746
99,77,83,67,80,65,61,56,86,61,53,62,61,59,65,54,1058
6,8,9,34,9,32,9,68,11,8,29,70,31,70,71,624,476
188,107,110,55,111,53,46,39,98,62,63,26,63,27,30,11,998
27,34,33,70,39,41,57,93,30,49,51,100,68,106,89,202,966
194,106,118,52,117,53,52,26,107,64,51,26,52,25,27,19,992
64,51,40,64,41,66,56,79,54,44,64,80,60,81,82,163,962
536,106,110,19,110,16,15,5,104,23,18,1,21,1,3,1,590
3,6,8,27,7,44,7,78,9,5,40,82,25,81,81,586,512
385,108,111,33,109,40,30,13,111,28,35,18,32,16,16,4,758
110,82,91,56,82,65,53,61,79,65,59,58,68,49,58,53,1044
30,51,59,60,52,76,47,80,49,47,71,88,69,81,78,151,1002
155,86,92,61,93,59,50,47,85,50,61,53,61,54,46,36,998
113,80,68,76,80,56,61,60,84,61,64,48,60,60,64,54,1044
294,116,108,45,106,40,46,24,108,46,46,16,55,14,16,9,878
153,96,103,68,99,59,61,35,95,63,56,40,73,36,34,18,1042
783,69,67,7,67,4,7,0,69,5,4,0,7,0,0,0,318
100,82,85,76,80,81,46,53,84,52,74,50,79,45,55,47,1040
64,77,77,67,74,66,51,66,74,46,66,71,73,68,63,86,1036
39,57,59,60,57,74,50,88,54,49,75,91,65,89,85,97,1052
87,67,56,69,58,66,50,83,61,55,74,67,73,69,77,77,1030
0,8,9,41,9,37,11,82,10,16,35,78,39,78,84,552,564
275,105,118,43,116,45,40,24,101,53,47,24,49,22,20,7,900
27,37,38,58,35,55,36,102,32,42,57,97,66,94,97,216,924
305,116,106,47,107,38,36,24,111,33,44,17,51,18,19,17,836
166,105,91,58,90,62,72,34,104,52,62,40,60,39,33,21,1026
