Points,Edges,Area,Perimeter,Contact_perimeter,TETRAPIXEL,Euler_General_4_Async
71301,118787,45275,56474,62313,14827,-2211
71618,116306,43316,59348,56958,12270,-1372
69091,95892,31558,65552,30340,3539,4757
53999,64668,18955,53516,11152,483,8286
69642,124890,51005,45760,79130,23882,-4243
71667,107452,37529,64788,42664,6879,1744
71066,105023,36255,65026,39997,6040,2298
66720,130727,60434,19718,111009,47002,-3573
59869,74121,22311,58998,15123,871,8059
69554,97373,32247,65758,31615,3796,4428
39245,43410,11908,39188,4222,57,7743
57319,69967,20813,56682,13285,637,8165
68307,92819,30078,65326,27493,2981,5566
68816,94820,31030,65520,29300,3296,5026
71807,116825,43647,59062,57763,12745,-1371
69570,125180,51336,45016,80164,24554,-4274
69717,98029,32570,65778,32251,3939,4258
70387,101100,34160,65560,35540,4827,3447
71668,111605,40164,62554,49051,9114,227
71524,107597,37715,64334,43263,7190,1642
43499,49271,13799,43346,5925,153,8027
39333,43674,12022,39260,4414,73,7681
53938,64165,18709,53494,10671,444,8482
50274,58582,16795,49984,8598,290,8487
10998,11239,2870,10998,241,0,2629
71197,104957,36196,65130,39827,6067,2436
64427,83112,25839,62868,20244,1559,7154
41506,46403,12849,41410,4993,96,7952
25032,26511,7000,25022,1489,10,5521
52496,61984,17970,52088,9896,408,8482
71426,117357,44196,57930,59427,13496,-1735
66058,131566,65024,3036,128530,63022,-484
59788,74165,22353,58918,15247,870,7976
65918,86647,27333,63962,22685,1956,6604
68761,127199,53806,39174,88025,29587,-4632
60756,75741,22919,59806,15935,950,7934
71669,109570,38870,63660,45910,8009,969
46587,53265,15029,46414,6851,173,8351
71090,104945,36218,65018,39927,6072,2363
69851,97915,32499,65834,32081,4017,4435
69010,126551,52948,41310,85241,27700,-4593
65604,85437,26759,63838,21599,1766,6926
70984,103986,35690,65212,38774,5772,2688
64170,82883,25804,62550,20333,1620,7091
45675,52041,14646,45498,6543,177,8280
71262,119508,45852,55608,63900,15654,-2394
71769,112996,41043,61820,51176,9949,-184
71500,106654,37097,64920,41734,6580,1943
70165,123001,49062,49754,73247,20411,-3774
68978,95652,31467,65436,30216,3542,4793
58284,71180,21193,57588,13592,696,8297
52134,61163,17623,51834,9329,300,8594
19180,20016,5214,19176,840,4,4378
31875,34452,9264,31848,2604,27,6687
