N0,N1,N2,Volume,Enclosing_surface,Contact_surface,TETRAVOXEL,OCTOVOXEL,MISC_Async
42700,110987,85218,20277,48774,36444,13439,618,-3346.0
44850,109398,80136,18361,50106,30030,9186,290,-2773.0
33508,55442,30340,5498,27692,2648,58,0,2908.0
47607,91034,55955,11171,44884,11071,1266,9,1357.0
48138,104398,70363,15105,50096,20267,4206,46,-1002.0
48488,101804,66974,14101,49342,17632,3120,32,-443.0
44882,109918,80740,18539,50246,30494,9426,306,-2835.0
46928,108588,76532,17005,51034,25498,6520,160,-2133.0
36921,109199,95669,25687,37216,58453,34767,4297,-2296.0
39215,110664,91532,23245,43594,47938,23476,1945,-3162.0
24354,38777,20518,3609,19382,1136,13,0,2486.0
45713,84108,50215,9795,41660,8555,788,3,2025.0
21044,33242,17462,3051,16618,844,6,0,2213.0
44900,81329,47939,9250,40378,7561,573,2,2260.0
47831,105286,71671,15503,50324,21347,4638,81,-1287.0
48379,104497,70238,15048,50188,20050,4121,47,-928.0
46134,108917,77911,17517,50720,27191,7477,192,-2389.0
42044,111063,86713,20957,47684,39029,15695,886,-3263.0
41528,72180,41178,7735,35946,5232,288,0,2791.0
48637,101550,66570,13981,49254,17316,3042,31,-324.0
44512,109947,81435,18840,49830,31605,10287,362,-2840.0
46118,85363,51209,10029,42244,8965,875,4,1935.0
35993,107412,97832,27482,30772,67060,45868,7359,-1069.0
46301,108516,77169,17263,50760,26409,6996,159,-2309.0
43328,77500,45228,8655,38526,6702,448,0,2401.0
20232,31816,16646,2898,15904,742,8,0,2164.0
47154,89825,55043,10960,44326,10717,1173,4,1412.0
18600,29140,15192,2636,14568,624,4,0,2016.0
48948,99406,63918,13230,48456,15462,2494,32,230.0
48415,94687,59192,11977,46522,12670,1643,7,943.0
35927,104559,101309,32438,7990,93319,88579,27459,239.0
35937,104543,101367,32734,6330,95037,91883,29553,27.0
35593,106240,99335,28924,25126,74209,55988,10939,-236.0
48115,92765,57370,11509,45686,11684,1393,7,1211.0
38256,110190,92890,23983,41882,51008,26426,2428,-3027.0
36075,108024,96971,26715,33652,63319,40720,5809,-1693.0
48312,102990,68540,14568,49672,18868,3646,52,-706.0
37883,109900,93580,24393,40802,52778,28296,2741,-2830.0
38058,110139,93404,24264,41224,52180,27691,2716,-2941.0
25666,41199,21959,3888,20590,1369,19,0,2538.0
35739,107088,98368,27912,29264,69104,48560,8261,-893.0
40326,110911,89301,22128,45834,43467,19243,1316,-3412.0
43055,76202,44111,8387,37900,6211,402,1,2577.0
43028,76368,44311,8442,37970,6341,428,0,2529.0
7888,12032,6116,1036,6016,100,0,0,936.0
47980,106164,72538,15736,50660,21878,4844,84,-1382.0
4492,6800,3431,577,3400,31,0,0,546.0
46268,108747,77550,17393,50742,26808,7263,170,-2322.0
48887,98372,62829,12935,48048,14781,2276,21,409.0
44276,79471,46500,8917,39498,7002,475,2,2388.0
43903,78566,45887,8790,39034,6853,498,1,2434.0
47443,106513,73520,16076,50584,22936,5345,111,-1626.0
39820,111122,90447,22609,45240,45207,20642,1508,-3464.0
47329,106827,74057,16255,50584,23473,5659,137,-1696.0
37476,109699,94301,24807,39760,54541,30179,3174,-2729.0
46971,88140,53381,10527,43600,9781,940,1,1685.0
35756,104920,100876,31153,14834,86042,75252,19804,559.0
40378,110939,89341,22143,45824,43517,19291,1280,-3363.0
47292,90170,55280,11010,44500,10780,1170,8,1392.0
47572,106026,72850,15875,50450,22400,5126,80,-1479.0
42095,110974,86352,20795,47934,38418,15106,805,-3322.0
16290,25359,13143,2268,12678,465,3,0,1806.0
43206,76948,44776,8552,38240,6536,468,2,2482.0
35727,105366,100386,30341,18726,81660,67914,16189,406.0
47800,105375,71828,15555,50326,21502,4723,78,-1302.0
45987,109327,78702,17794,50640,28062,8047,211,-2432.0
43598,110084,82841,19408,49234,33607,11616,470,-3053.0
41178,111158,87818,21382,47344,40474,16470,922,-3544.0
48727,102185,67204,14150,49508,17696,3169,27,-404.0
48248,103882,69598,14867,49994,19604,3894,60,-903.0
41830,111156,86959,21030,47738,39221,15680,886,-3397.0
33548,55406,30280,5482,27668,2612,70,0,2940.0
47667,105376,71951,15600,50302,21649,4772,81,-1358.0
39334,110783,90921,22884,44538,46383,21707,1620,-3412.0
12838,19837,10209,1750,9918,291,1,0,1460.0
45475,83176,49392,9587,41262,8130,652,5,2104.0
43959,79316,46612,8972,39392,7220,532,1,2283.0
39578,110850,90910,22898,44432,46478,21986,1666,-3260.0
31906,52365,28460,5127,26158,2302,49,0,2874.0
41481,72917,41984,7948,36280,5704,357,1,2600.0
48909,100515,65181,13579,48888,16293,2739,29,-4.0
41533,110995,87284,21202,47356,39928,16283,937,-3380.0
35610,106289,99458,29003,24898,74560,56493,11160,-224.0
46236,108467,77314,17342,50576,26738,7315,178,-2259.0
46855,87994,53335,10526,43514,9821,966,1,1670.0
40735,110884,88531,21774,46418,42113,18048,1101,-3392.0
35684,105193,100590,30624,17436,83154,70321,17334,457.0
45468,109892,80063,18277,50464,29599,8964,280,-2638.0
39378,67615,38191,7114,33698,4493,219,0,2840.0
37024,109256,94884,25206,38532,56352,32192,3600,-2554.0
35934,104547,101340,32622,6948,94392,90651,28776,105.0
46490,86553,52088,10217,42874,9214,805,0,1808.0
45255,109560,79804,18204,50384,29420,8792,281,-2705.0
39339,110772,91175,23032,44158,47017,22456,1761,-3290.0
43650,110581,83246,19489,49558,33688,11465,440,-3174.0
47840,103022,69034,14747,49586,19448,3850,44,-895.0
