N0,N1,N2,Volume,Enclosing_surface,Contact_surface,TETRAVOXEL,OCTOVOXEL,MISC_Async
831,1620,1014,206,792,222,36,1,19.0
846,1840,1254,273,870,384,100,2,-13.0
818,1551,947,188,766,181,19,0,26.0
802,1715,1159,251,812,347,91,0,-5.0
856,1796,1182,249,870,312,56,0,-7.0
813,1509,913,181,740,173,29,1,36.0
807,1888,1357,308,866,491,156,5,-32.0
332,512,263,45,256,7,0,0,38.0
729,1940,1704,490,468,1236,1004,255,3.0
824,1588,980,196,784,196,20,0,20.0
798,1892,1390,323,842,548,208,10,-27.0
850,1691,1073,220,826,247,39,0,12.0
272,428,224,39,214,10,0,0,29.0
522,865,474,86,432,42,1,0,45.0
729,1944,1728,511,390,1338,1164,335,2.0
727,1939,1670,461,574,1096,791,159,-3.0
812,1534,940,188,752,188,30,0,30.0
672,1144,642,119,570,72,4,0,51.0
152,232,118,20,116,2,0,0,18.0
865,1926,1336,295,902,434,122,3,-20.0
836,1600,983,196,790,193,20,0,23.0
725,1946,1670,456,604,1066,738,135,-7.0
714,1193,658,120,596,62,1,0,59.0
756,1354,792,152,672,120,10,0,42.0
864,1859,1261,274,878,383,103,2,-8.0
628,1058,588,108,528,60,2,0,50.0
744,1296,742,140,644,98,8,0,50.0
670,1165,663,124,582,81,1,0,44.0
838,1687,1078,222,824,254,39,0,7.0
854,1539,910,177,758,152,23,0,48.0
836,1724,1119,233,840,279,44,0,-2.0
844,1764,1159,244,854,305,56,0,-5.0
801,1823,1277,283,856,421,111,1,-28.0
856,1814,1193,250,886,307,42,0,-15.0
566,897,473,83,448,25,1,0,59.0
749,1943,1590,411,714,876,515,65,-15.0
144,216,108,18,108,0,0,0,18.0
806,1910,1386,317,870,516,170,6,-35.0
834,1615,1003,202,794,209,27,0,20.0
751,1973,1574,392,796,778,381,35,-40.0
806,1974,1470,344,876,594,222,14,-42.0
856,1710,1083,221,840,243,30,0,8.0
806,1447,846,162,720,126,7,0,43.0
874,1863,1239,263,900,339,63,0,-13.0
777,1991,1552,377,842,710,307,13,-39.0
724,1933,1627,432,662,965,609,90,-14.0
830,1909,1348,301,890,458,129,4,-32.0
772,1416,843,164,702,141,12,0,35.0
753,1942,1551,389,768,783,406,39,-27.0
900,1827,1178,245,886,292,55,2,6.0
808,1522,925,183,752,173,18,0,28.0
626,1049,580,106,524,56,1,0,51.0
834,1905,1352,305,874,478,157,8,-24.0
825,1911,1354,303,890,464,131,5,-35.0
706,1255,729,139,624,105,7,0,41.0
746,1957,1571,395,772,799,413,44,-35.0
668,1120,619,113,560,59,0,0,54.0
892,1854,1208,252,904,304,46,0,-6.0
839,1662,1053,216,810,243,42,1,14.0
846,1653,1033,209,812,221,29,0,17.0
730,1951,1673,459,592,1081,767,152,-7.0
502,825,449,81,412,37,1,0,45.0
814,1491,886,172,740,146,11,0,37.0
612,1016,557,101,508,49,0,0,52.0
719,1952,1603,409,752,851,448,45,-39.0
252,384,195,33,192,3,0,0,30.0
776,1394,815,156,694,121,6,0,41.0
528,876,480,87,438,42,0,0,45.0
734,1351,810,159,666,144,19,0,34.0
864,1749,1124,233,850,274,49,2,6.0
810,1467,865,167,728,137,11,0,41.0
825,1842,1274,280,868,406,106,3,-23.0
236,364,187,32,182,5,0,0,27.0
724,1224,683,126,610,73,4,0,57.0
718,1221,683,126,610,73,1,0,54.0
728,1943,1708,487,494,1214,955,222,6.0
826,1629,1030,211,794,236,41,0,16.0
606,1031,578,107,514,64,3,0,46.0
729,1944,1713,494,462,1251,1020,259,4.0
771,1956,1527,374,810,717,336,25,-32.0
873,1866,1254,270,888,366,90,3,-9.0
796,1872,1361,313,844,517,184,8,-28.0
814,1475,872,169,730,142,15,0,42.0
792,1416,824,157,706,118,4,0,43.0
804,1536,945,189,756,189,24,0,24.0
872,1786,1153,239,872,281,42,0,0.0
825,1949,1394,313,910,484,129,1,-43.0
192,296,152,26,148,4,0,0,22.0
472,744,390,68,372,18,0,0,50.0
858,1817,1206,256,876,330,65,0,-9.0
829,1711,1118,235,826,292,59,1,1.0
828,1700,1101,229,828,273,44,0,0.0
820,1869,1323,298,858,465,153,10,-24.0
756,1971,1586,400,772,814,427,42,-29.0
842,1858,1274,278,880,394,98,2,-20.0
777,1931,1453,342,854,599,223,9,-43.0
832,1576,964,192,776,188,24,0,28.0
828,1684,1081,223,824,257,36,0,2.0
822,1857,1293,285,876,417,105,0,-27.0
742,1950,1615,423,692,923,566,82,-16.0
816,1706,1121,236,826,295,54,0,-5.0
735,1957,1658,446,640,1018,677,115,-10.0
771,1946,1508,368,808,700,330,33,-35.0
782,1961,1507,363,836,671,289,16,-35.0
860,1976,1397,313,916,481,144,8,-32.0
810,1906,1381,316,866,515,174,6,-31.0
790,1461,877,172,722,155,17,0,34.0
810,1463,865,168,722,143,19,0,44.0
855,1883,1295,284,886,409,111,3,-17.0
719,1944,1655,442,658,997,628,85,-12.0
738,1259,707,131,628,79,3,0,55.0
847,1768,1162,245,854,308,60,1,-4.0
616,1054,593,110,526,67,2,0,45.0
804,1907,1396,323,854,542,199,10,-30.0
840,1760,1164,247,846,318,68,0,-3.0
696,1218,699,132,606,93,6,0,45.0
860,1652,1017,203,816,201,20,0,22.0
