Points,Edges,Area,Perimeter,Contact_perimeter,TETRAPIXEL,Euler_General_8_Async
808,924,261,804,120,4,90
396,421,112,394,27,2,64
1147,1856,695,932,924,215,-97
1097,2093,951,382,1711,715,-53
1139,1788,655,956,832,183,-81
1124,2008,824,720,1288,404,-100
1096,2102,967,336,1766,760,-46
338,351,91,338,13,0,63
280,294,77,280,14,0,54
502,535,142,502,33,0,77
1115,2072,896,560,1512,555,-89
1148,1651,562,1054,597,94,-68
508,538,142,508,30,0,76
1134,2024,835,708,1316,426,-106
480,512,136,480,32,0,80
1136,1903,729,890,1013,246,-108
1113,1531,502,1054,477,59,-34
675,773,218,674,99,1,75
939,1150,344,924,226,15,36
1144,1897,732,866,1031,278,-94
358,377,99,358,19,0,64
1134,1649,563,1046,603,88,-57
658,727,199,658,69,0,77
1128,1629,553,1046,583,82,-53
1018,1312,406,1000,312,18,7
843,999,291,834,165,9,69
1114,1554,515,1048,506,66,-42
986,1188,350,976,212,10,34
1090,2109,1000,218,1891,872,-20
625,696,192,624,72,1,80
1125,1588,532,1048,540,77,-53
1097,1468,468,1064,404,33,-33
1180,1840,665,1020,820,160,-112
1152,1935,751,866,1069,286,-110
1130,2008,826,712,1296,418,-101
1076,1457,470,1034,423,42,-24
1129,2034,841,704,1330,425,-105
1013,1324,413,996,328,17,4
1090,1514,497,1040,474,50,-31
1091,2109,1000,218,1891,873,-20
921,1096,320,912,184,9,57
1028,1297,397,1006,291,22,13
1125,1721,615,982,739,143,-77
1069,1355,416,1046,309,23,-9
948,1191,361,938,253,10,31
1104,1501,485,1062,439,42,-30
747,847,238,742,105,5,77
264,272,70,264,8,0,54
1175,1742,603,1072,670,103,-92
1160,1788,636,1032,756,128,-99
1168,1922,727,936,986,232,-119
1090,2109,999,222,1887,868,-21
1100,2085,928,458,1627,642,-69
1116,1605,540,1050,555,66,-58
1044,1338,414,1020,318,24,-2
999,1274,392,980,294,19,15
1164,1764,630,1008,756,156,-86
856,1047,311,850,197,6,52
1096,1580,534,1024,556,72,-47
1161,1711,590,1062,649,99,-79
1119,1560,518,1048,512,71,-47
1130,1544,502,1080,464,50,-47
203,209,54,202,7,1,43
759,853,238,754,99,5,77
923,1111,327,914,197,9,51
338,363,97,338,25,0,64
466,499,133,466,33,0,79
1158,1782,639,1008,774,150,-91
1148,1815,663,978,837,170,-91
1157,1680,578,1048,632,109,-80
1098,2102,969,328,1774,770,-44
1112,2069,898,546,1523,566,-85
34,35,9,34,1,0,8
859,1017,295,854,163,5,58
1021,1260,378,1008,252,13,23
1104,1553,514,1050,503,54,-46
1139,1988,799,780,1208,359,-110
1120,2011,826,718,1293,402,-98
750,877,252,746,131,4,72
1129,2043,846,702,1341,427,-113
904,1113,333,894,219,10,38
1093,1578,536,1012,566,81,-34
64,64,16,64,0,0,16
807,949,274,802,147,5,73
1149,1929,741,894,1035,255,-112
1014,1286,395,992,294,22,24
1101,2007,835,674,1333,427,-99
1106,2055,880,590,1465,516,-91
1167,1752,618,1032,720,135,-85
1183,1855,673,1018,837,165,-115
1146,1676,571,1068,608,78,-83
1018,1277,387,1006,271,12,13
1149,1710,597,1032,678,117,-74
132,134,34,132,2,0,31
1079,1456,469,1036,420,43,-21
1104,2075,913,498,1577,606,-74
1175,1882,698,972,910,203,-111
1097,2096,955,372,1724,725,-52
1131,1969,781,814,1155,317,-112
500,540,145,500,40,0,74
1158,1900,713,948,952,210,-118
1086,1461,468,1050,411,36,-24
1092,2070,930,420,1650,672,-56
1133,1610,541,1056,554,77,-55
848,997,287,846,151,2,60
1147,1903,726,902,1001,245,-109
1110,1544,507,1060,484,50,-46
739,843,237,738,105,1,75
1146,1677,577,1046,631,100,-63
1089,2111,998,230,1881,859,-24
932,1151,344,926,225,6,39
1133,2015,825,730,1285,403,-108
1083,1502,499,1008,494,75,-38
412,432,113,412,20,0,72
1167,1857,685,974,883,193,-108
1109,2076,905,532,1544,577,-84
1087,1469,473,1046,423,41,-24
1178,1744,603,1076,668,102,-95
1085,1462,470,1044,418,41,-22
8,8,2,8,0,0,2
1136,1973,787,798,1175,338,-110
1119,2053,867,638,1415,481,-101
1118,2035,858,638,1397,480,-95
971,1179,349,962,217,9,33
1115,1998,822,708,1290,407,-97
1079,1510,501,1016,494,63,-43
1138,2004,808,776,1228,362,-115
1125,1511,485,1082,429,43,-42
941,1162,349,928,234,13,31
1128,2011,828,710,1301,418,-103
1162,1734,609,1032,702,130,-83
1167,1806,653,1000,806,167,-96
94,95,24,94,1,0,21
1098,1490,481,1056,434,42,-36
410,429,112,410,19,0,71
1160,1965,758,898,1067,262,-123
1132,2028,840,696,1332,436,-100
1086,1388,428,1064,324,22,-9
1149,1849,686,954,895,195,-97
674,730,197,672,58,2,88
152,158,41,152,6,0,33
1089,2112,1023,132,1980,957,0
1095,1476,474,1056,420,39,-30
1121,1642,568,1012,630,109,-63
364,378,98,364,14,0,70
1174,1826,658,1020,806,154,-108
680,739,200,678,61,2,87
1049,1344,416,1024,320,25,-1
1022,1333,419,990,343,32,1
844,980,281,836,144,8,49
997,1352,435,964,388,33,-7
1141,1919,743,866,1053,275,-114
704,778,213,704,74,0,88
1166,1834,670,988,846,178,-101
1122,1951,779,786,1165,336,-97
840,1016,301,828,188,12,59
1139,1710,602,1012,698,127,-70
234,239,61,234,5,0,51
1111,1562,520,1044,518,67,-51
1138,1551,505,1082,469,56,-40
1124,1504,478,1096,408,28,-35
863,1040,305,860,180,3,42
437,464,123,436,28,1,82
1157,1635,544,1094,541,63,-66
1115,1643,567,1018,625,97,-64
627,708,198,624,84,3,68
1109,1508,489,1060,448,49,-31
1140,1551,501,1098,453,42,-42
1144,1854,697,920,934,224,-102
1126,1660,571,1036,624,90,-61
1089,2111,1008,190,1921,899,-14
1174,1672,563,1092,580,82,-69
1075,1460,471,1036,424,39,-32
1032,1342,422,996,346,36,3
298,313,82,298,15,0,63
790,895,251,786,109,4,83
1078,1415,447,1042,373,36,-18
1137,1701,594,1026,675,111,-76
958,1145,335,950,195,8,33
1130,1634,554,1052,582,78,-62
1089,2112,1020,144,1968,945,-3
1087,1484,485,1028,456,59,-26
1121,1525,491,1086,439,35,-32
1061,1371,426,1038,333,23,-5
1137,2022,816,780,1242,357,-121
1153,1627,542,1086,541,67,-74
1173,1812,650,1024,788,149,-97
954,1142,335,944,198,10,46
1079,1499,493,1026,473,53,-39
1176,1934,734,932,1002,244,-121
1122,1545,507,1062,483,60,-42
1129,1650,564,1044,606,85,-65
462,507,138,462,45,0,70
1052,1350,417,1032,318,20,20
683,771,215,682,89,1,75
900,1124,340,888,236,12,51
1108,1573,526,1042,531,66,-41
230,237,61,230,7,0,49
601,662,181,600,62,1,76
1082,1403,437,1058,345,24,-23
941,1124,329,932,192,9,44
1129,1974,794,772,1202,357,-104
1139,2038,841,712,1326,427,-110
1167,1945,747,902,1043,265,-123
1091,2108,995,236,1872,855,-25
1151,1843,681,962,881,189,-106
1041,1401,450,1002,399,39,-4
1137,2042,840,724,1318,413,-115
1152,1628,544,1080,548,72,-65
226,231,59,226,5,0,49
1096,1524,499,1052,472,44,-33
657,726,199,656,70,1,71
1151,1770,633,1008,762,143,-87
1127,1526,493,1080,446,47,-45
1013,1316,411,988,328,25,10
1141,1631,548,1070,561,71,-57
1142,1951,758,870,1081,272,-117
1116,1597,538,1042,555,74,-56
1138,1583,524,1070,513,68,-55
1138,1992,806,760,1232,378,-102
1093,1535,511,1026,509,67,-40
1148,1798,647,1008,790,140,-103
1166,1812,647,1036,776,130,-103
514,553,148,514,39,0,85
306,315,81,306,9,0,64
401,436,118,400,36,1,62
877,1033,299,870,163,7,42
713,809,227,710,99,3,64
1160,1826,658,1020,806,140,-110
1151,1819,659,1002,817,149,-101
1001,1225,364,994,231,7,16
1094,2108,984,280,1828,814,-35
1152,1811,658,990,821,162,-87
1035,1330,413,1008,322,27,4
1109,1508,489,1060,448,49,-33
1090,2096,965,332,1764,758,-42
1028,1294,396,1004,290,24,20
1152,1594,522,1100,494,52,-56
966,1193,359,950,243,16,29
1105,1549,517,1030,519,75,-44
1103,1550,512,1052,498,51,-39
1108,2068,902,528,1540,580,-78
1082,1424,449,1052,372,30,-13
686,778,218,684,94,2,74
1028,1320,410,1000,320,28,12
993,1286,401,968,318,25,2
723,814,228,716,98,7,82
488,520,138,488,32,0,70
1088,1591,542,1014,577,74,-53
1154,1634,545,1088,546,66,-72
1024,1291,394,1006,285,18,16
1148,1647,558,1062,585,86,-69
1103,1566,529,1016,550,87,-48
1141,1593,527,1078,515,63,-66
1169,1827,661,1010,817,159,-103
1163,1709,586,1074,635,89,-81
1072,1493,490,1026,467,46,-30
1160,1733,604,1050,683,110,-83
1172,1751,610,1062,689,110,-88
526,567,152,526,41,0,75
727,795,216,726,69,1,82
1145,1690,586,1036,654,109,-68
692,781,218,690,91,2,75
1126,1916,750,832,1084,294,-97
1141,1938,755,856,1082,285,-106
1109,1405,430,1090,315,19,-27
1104,1539,509,1042,497,62,-44
1177,1782,630,1044,738,133,-104
1026,1389,446,994,395,32,-18
1114,2075,909,514,1561,600,-78
1132,1659,574,1022,637,110,-63
1146,1696,585,1052,644,94,-77
1122,1991,817,714,1277,408,-98
864,1008,289,860,148,4,70
623,683,186,622,61,1,75
528,570,153,528,42,0,84
226,235,61,226,9,0,47
1089,2105,995,230,1875,859,-21
1119,1553,508,1074,479,45,-49
1160,1771,631,1018,753,142,-89
1122,1579,522,1070,509,52,-49
1040,1374,434,1012,362,28,3
1159,1722,593,1072,650,87,-90
1162,1762,620,1044,718,118,-98
982,1206,363,960,246,22,38
1117,2022,836,700,1322,417,-102
1104,1497,484,1058,439,46,-36
1146,1931,741,898,1033,248,-124
1118,1895,735,850,1045,268,-96
1068,1427,456,1030,397,38,-9
1153,1833,677,958,875,195,-100
1142,1674,578,1036,638,106,-70
794,917,260,794,123,0,65
811,938,268,804,134,7,72
1117,2060,887,572,1488,545,-88
8,8,2,8,0,0,2
631,711,198,630,81,1,71
1104,1437,449,1078,359,26,-23
975,1193,356,962,231,13,35
274,281,72,274,7,0,54
1050,1346,417,1024,322,26,-7
1129,1581,523,1070,511,59,-58
1147,1988,783,844,1144,303,-122
1140,1637,557,1046,591,94,-56
1139,1772,642,976,796,163,-83
1112,2068,902,528,1540,584,-79
1157,1912,723,932,980,225,-117
1118,2006,831,688,1318,430,-95
1171,1846,672,1004,842,167,-113
549,588,157,548,40,1,82
1117,1560,519,1044,516,73,-49
1164,1884,705,948,936,216,-108
1130,2008,816,752,1256,378,-108
1134,1746,631,968,778,166,-77
1003,1250,378,988,262,15,19
1171,1810,644,1044,766,127,-115
1038,1345,422,1002,343,36,2
1157,1718,602,1028,690,129,-85
954,1180,355,940,240,14,46
1160,1629,542,1090,539,70,-57
1089,2112,1018,152,1960,937,-5
1159,1801,644,1026,775,133,-108
871,1039,303,866,173,5,48
1064,1344,411,1044,300,20,4
1145,1947,761,850,1097,295,-106
1173,1611,527,1114,497,59,-66
1124,2028,842,688,1340,436,-103
1159,1732,602,1056,676,103,-85
719,811,226,718,93,1,73
214,217,55,214,3,0,48
752,858,242,748,110,4,74
1059,1421,455,1022,399,37,-17
1144,1775,638,998,777,146,-88
1106,1545,511,1046,499,60,-40
1125,2046,862,644,1402,481,-98
1132,1973,789,790,1183,342,-107
1145,1928,749,860,1068,285,-105
1122,2050,863,648,1402,474,-99
1153,1695,581,1066,629,87,-70
1118,1581,528,1050,531,68,-50
1134,1955,773,818,1137,316,-103
1083,1474,475,1048,426,35,-24
936,1143,340,926,217,10,41
1114,1502,483,1072,430,42,-36
1089,2105,996,226,1879,863,-21
1106,1611,548,1030,581,76,-64
1133,1635,555,1050,585,83,-62
755,863,243,754,109,1,67
1155,1786,647,984,802,171,-92
1171,1712,586,1080,632,91,-86
1155,1937,747,886,1051,269,-113
1147,2005,810,770,1235,377,-113
1050,1338,414,1020,318,30,9
1163,1854,675,1008,846,155,-119
953,1175,352,942,233,11,16
1161,1975,769,874,1101,287,-126
1119,2000,819,724,1276,395,-103
1167,1930,734,924,1006,243,-121
742,837,234,738,99,4,61
1160,1711,591,1058,653,102,-87
1131,1678,583,1024,654,107,-75
576,624,168,576,48,0,77
1102,1436,451,1068,368,34,-19
1145,1778,636,1012,766,133,-108
1168,1766,622,1044,722,124,-87
976,1233,377,958,275,18,27
1103,2077,910,514,1563,589,-80
1165,1763,627,1018,745,147,-90
1156,1763,624,1030,733,126,-85
990,1198,355,976,222,14,29
1045,1341,415,1022,319,23,14
808,914,256,804,110,4,77
1111,1476,468,1080,396,31,-35
1117,2022,845,664,1358,453,-95
1155,1992,794,808,1184,347,-122
1161,1743,609,1050,693,111,-93
384,408,108,384,24,0,70
100,100,25,100,0,0,25
490,523,139,490,33,0,78
1138,1613,539,1070,543,68,-57
1162,1865,687,982,883,180,-108
1111,2084,914,512,1572,599,-81
1170,1718,593,1064,654,106,-88
1103,1551,520,1022,529,81,-43
1164,1791,641,1018,773,146,-104
1100,1476,472,1064,412,36,-32
68,68,17,68,0,0,17
897,1081,319,886,195,11,44
641,702,191,640,62,1,80
1123,1726,615,992,734,131,-80
779,895,253,778,117,1,75
1120,1816,681,908,908,212,-83
1019,1309,405,998,311,21,16
1123,2007,822,726,1281,397,-108
318,329,85,318,11,0,62
1149,1594,524,1092,502,57,-49
1124,2044,863,636,1408,488,-96
1139,1631,549,1066,565,73,-65
62,63,16,62,1,0,15
1024,1332,417,996,336,28,18
1077,1445,464,1034,411,43,-22
1142,1779,642,990,789,152,-84
1089,2108,994,240,1868,849,-25
1092,2094,957,360,1734,732,-48
1123,2057,882,586,1471,537,-88
1035,1327,411,1010,317,25,11
1174,1786,628,1060,726,114,-105
1093,1515,499,1034,481,59,-38
1161,1830,668,988,842,173,-105
1121,1979,803,746,1233,375,-100
1129,1989,806,754,1235,375,-111
432,444,114,432,12,0,86
1174,1830,658,1028,802,146,-108
1126,2008,819,740,1268,386,-108
1020,1314,407,1000,314,20,12
1138,1685,582,1042,643,96,-72
1021,1323,415,986,337,35,5
124,126,32,124,2,0,29
1135,1588,529,1060,528,75,-51
1034,1337,418,1002,335,32,-3
1016,1337,420,994,343,22,1
1124,2022,845,664,1358,460,-99
1097,2086,936,428,1658,669,-63
960,1173,349,950,223,10,33
1163,1674,568,1076,598,87,-78
1145,1690,585,1040,650,105,-67
1157,1665,563,1078,587,79,-75
1002,1258,384,980,278,22,24
954,1168,348,944,224,10,36
950,1142,335,944,198,6,24
1017,1271,386,998,273,19,15
1096,2074,926,444,1630,652,-60
1102,1490,482,1052,438,50,-27
994,1222,366,980,242,14,26
1111,1619,555,1018,601,93,-58
1162,1640,545,1100,540,62,-63
1163,1824,662,1000,824,163,-104
504,544,146,504,40,0,76
835,958,271,832,126,3,72
862,1001,286,858,143,4,56
1038,1367,432,1006,361,32,-15
1090,2110,1010,180,1930,910,-11
1151,1765,630,1010,755,141,-89
1131,1672,581,1020,652,111,-71
1145,1754,620,1028,726,117,-92
1128,1588,529,1060,528,68,-54
1138,2024,824,752,1272,386,-117
1027,1276,386,1008,268,19,19
1132,1986,809,736,1250,396,-102
392,422,113,392,30,0,71
1157,1937,746,890,1047,267,-115
1102,2083,926,462,1621,640,-69
1177,1925,725,950,975,227,-126
244,250,64,244,6,0,56
1167,1936,744,896,1040,271,-112
1003,1254,381,984,270,19,20
318,327,84,318,9,0,65
1091,1529,505,1038,491,53,-38
1093,1443,460,1046,397,47,-25
997,1257,385,974,283,23,18
374,397,105,374,23,0,64
1163,1702,586,1060,642,103,-78
1147,1685,585,1030,655,117,-66
310,323,84,310,13,0,60
1168,1929,732,930,999,238,-117
1147,1687,581,1050,637,97,-77
968,1191,357,954,237,14,30
1160,1771,629,1026,745,134,-91
1155,1891,715,922,969,233,-113
1117,1603,539,1050,553,67,-53
1153,1727,600,1054,673,99,-91
1137,1883,714,910,973,227,-100
394,419,111,394,25,0,70
1082,1508,499,1020,488,62,-25
901,1079,315,898,181,3,50
1152,1829,666,994,835,158,-105
1113,2064,902,520,1544,593,-75
508,556,151,508,48,0,75
1164,1690,576,1076,614,88,-83
1162,1955,756,886,1069,276,-121
1118,1587,532,1046,541,72,-58
811,945,271,806,139,5,58
1155,1783,639,1010,773,145,-103
789,912,259,788,124,1,61
1156,1860,695,940,920,216,-107
1132,1619,544,1062,557,70,-50
1138,1949,761,854,1095,284,-112
1097,2097,954,378,1719,719,-54
894,1071,315,882,189,12,48
1155,1914,729,912,1002,243,-115
1088,1509,493,1046,463,42,-37
1147,1935,750,870,1065,277,-111
618,679,185,618,61,0,84
1138,1976,787,804,1172,334,-112
1132,1615,543,1058,557,74,-53
1106,2084,918,496,1588,610,-77
538,579,155,538,41,0,82
926,1125,335,910,215,16,55
1095,2104,972,320,1784,775,-43
1131,2036,845,692,1344,439,-104
1109,1541,505,1062,479,47,-34
1095,1515,495,1050,465,45,-45
1053,1346,416,1028,318,25,-8
428,460,123,428,32,0,71
1132,1640,558,1048,592,84,-69
1128,2000,810,760,1240,368,-111
1009,1319,413,986,333,23,6
1175,1717,590,1074,643,101,-88
1085,1445,461,1046,399,39,-16
1110,2022,847,656,1366,454,-94
1161,1631,543,1090,541,71,-63
1153,1902,724,908,994,245,-107
993,1239,377,970,269,23,17
1159,1813,654,1010,803,149,-102
1157,1972,766,880,1092,277,-125
462,495,132,462,33,0,67
1158,1750,614,1044,706,114,-87
1160,1739,608,1046,693,114,-87
875,1056,312,864,192,11,44
994,1225,367,982,243,12,10
1085,1495,488,1038,457,47,-36
1166,1871,693,970,901,196,-117
1113,2038,861,632,1406,481,-91
1151,1698,588,1044,654,107,-79
1179,1903,711,962,941,217,-121
1124,1606,544,1036,570,88,-47
1106,2071,895,562,1509,544,-88
960,1177,352,946,231,14,26
1145,1742,620,1004,738,141,-80
1111,2028,852,648,1380,463,-92
953,1228,381,932,296,21,16
1132,2002,817,736,1266,396,-103
1041,1370,433,1008,362,33,-6
1052,1435,466,1006,429,46,-21
1094,2098,967,328,1770,766,-43
760,890,257,752,138,8,66
1099,2090,953,368,1722,731,-49
1116,2053,873,614,1439,502,-93
1115,2017,838,682,1335,433,-102
731,822,229,728,94,3,70
1121,1587,529,1058,529,63,-50
1140,1952,767,836,1116,304,-110
1091,1451,462,1054,397,37,-24
946,1177,355,934,243,12,32
584,647,178,582,65,2,85
1068,1439,463,1026,413,42,-7
732,816,225,732,84,0,72
846,995,287,842,153,4,64
1102,2072,914,488,1584,614,-69
