N0,N1,N2,Volume,Enclosing_surface,Contact_surface,TETRAVOXEL,OCTOVOXEL,MISC_Async
864,1770,1149,240,858,291,54,0,3.0
751,1940,1535,381,784,751,372,37,-35.0
862,1849,1247,269,880,367,89,0,-9.0
867,1937,1354,302,896,458,145,7,-18.0
731,1950,1703,483,508,1195,934,221,1.0
0,0,0,0,0,0,0,0,0.0
817,1820,1255,275,860,395,100,3,-23.0
332,516,267,46,258,9,0,0,37.0
824,1979,1450,334,896,554,187,6,-39.0
780,1370,792,151,678,114,14,0,51.0
548,872,461,81,436,25,0,0,56.0
772,1917,1459,349,824,635,269,18,-35.0
204,308,155,26,154,1,0,0,25.0
810,1449,848,163,718,130,13,0,46.0
614,1031,572,105,514,58,3,0,50.0
770,1947,1514,370,808,706,331,28,-33.0
822,1795,1231,270,842,389,111,4,-12.0
733,1945,1705,490,470,1235,1005,257,3.0
766,1375,806,155,682,124,11,0,42.0
842,1591,967,191,788,179,15,0,27.0
730,1227,681,125,612,69,3,0,59.0
712,1236,704,132,616,88,4,0,48.0
844,1830,1230,263,882,348,66,0,-19.0
264,412,214,37,206,8,0,0,29.0
873,1783,1151,239,868,283,47,1,2.0
746,1953,1576,399,758,818,437,48,-30.0
734,1345,799,155,668,131,9,0,33.0
384,600,312,54,300,12,0,0,42.0
208,336,180,32,168,12,0,0,20.0
794,1731,1173,253,828,345,75,0,-17.0
772,1946,1487,355,844,643,258,12,-42.0
526,883,490,90,440,50,3,0,43.0
739,1962,1631,427,700,931,562,77,-19.0
276,420,213,36,210,3,0,0,33.0
790,1947,1471,349,848,623,251,12,-35.0
722,1957,1667,447,652,1015,653,100,-15.0
714,1301,770,149,646,124,9,0,34.0
845,1775,1176,250,852,324,71,1,-4.0
868,1696,1065,217,828,237,40,0,20.0
743,1958,1600,410,740,860,478,53,-25.0
751,1964,1584,401,762,822,440,49,-30.0
762,1363,797,153,676,121,11,0,43.0
831,1710,1117,235,824,293,62,1,3.0
846,1831,1234,265,878,356,75,0,-16.0
876,1660,1015,202,818,197,24,0,29.0
832,1880,1331,300,862,469,156,4,-17.0
824,1544,938,186,760,178,24,0,32.0
815,1682,1099,231,812,287,58,1,1.0
658,1081,588,106,540,48,1,0,59.0
782,1353,769,144,674,95,5,0,54.0
790,1902,1392,320,864,528,174,6,-40.0
662,1125,629,116,562,67,1,0,50.0
676,1174,670,126,584,86,6,0,46.0
849,1893,1303,285,896,407,101,5,-26.0
769,1906,1453,349,812,641,282,23,-33.0
842,1825,1226,262,880,346,65,0,-19.0
817,1948,1434,333,870,564,208,7,-30.0
820,1838,1273,280,866,407,106,4,-25.0
744,1366,815,159,676,139,14,0,34.0
798,1511,918,181,750,168,11,0,24.0
842,1819,1225,263,872,353,75,0,-15.0
726,1933,1666,461,566,1100,801,164,-2.0
792,1958,1484,354,844,640,270,20,-36.0
845,1761,1153,242,854,299,53,1,-5.0
819,1948,1438,335,866,572,216,5,-26.0
804,1478,884,173,730,154,18,0,37.0
797,1848,1314,295,858,456,132,3,-32.0
734,1945,1593,408,738,855,469,48,-26.0
824,1566,961,192,770,191,26,0,27.0
804,1824,1278,284,852,426,120,4,-26.0
723,1927,1645,448,602,1043,723,135,-7.0
844,1804,1203,256,870,333,64,0,-13.0
852,1776,1159,242,866,293,44,0,-7.0
264,404,206,35,202,4,0,0,31.0
520,828,438,77,414,24,0,0,53.0
812,1662,1078,225,806,272,50,0,3.0
775,1959,1517,368,826,691,307,19,-35.0
858,1787,1173,247,864,309,59,0,-3.0
700,1234,714,136,612,102,10,0,44.0
812,1546,952,191,758,194,30,0,27.0
520,874,487,90,434,53,6,0,43.0
900,1810,1154,237,886,268,38,0,7.0
788,1966,1517,369,820,697,326,28,-30.0
798,1919,1429,336,842,587,235,12,-28.0
774,1399,826,160,692,134,15,0,41.0
544,912,504,92,456,48,0,0,44.0
866,1884,1281,278,894,387,96,2,-15.0
772,1350,776,147,670,106,10,0,51.0
835,1758,1162,246,848,314,62,1,-7.0
352,548,284,49,274,10,0,0,39.0
842,1749,1146,241,846,300,57,0,-2.0
767,1943,1532,380,784,748,375,31,-24.0
725,1942,1664,452,616,1048,710,119,-5.0
638,1061,583,106,530,53,1,0,54.0
316,496,259,45,248,11,0,0,34.0
725,1946,1708,481,530,1178,886,183,6.0
785,1942,1485,358,822,663,298,23,-30.0
56,84,42,7,42,0,0,0,7.0
84,128,65,11,64,1,0,0,10.0
729,1943,1726,510,392,1334,1159,333,2.0
783,1803,1269,282,846,423,111,3,-33.0
728,1953,1621,421,716,905,521,62,-25.0
736,1300,750,142,648,102,4,0,44.0
792,1398,807,153,696,111,6,0,48.0
867,1728,1105,229,836,269,56,1,15.0
810,1911,1391,320,862,529,187,8,-30.0
560,948,530,98,472,58,4,0,44.0
821,1935,1407,324,870,537,195,13,-31.0
817,1799,1237,271,848,389,103,1,-16.0
720,1939,1681,464,578,1103,783,146,-2.0
836,1846,1265,276,874,391,98,4,-21.0
880,1880,1254,267,906,348,68,0,-13.0
800,1846,1310,294,856,454,134,4,-30.0
752,1438,887,178,706,181,26,0,23.0
776,1893,1390,320,860,530,173,10,-47.0
789,1931,1432,333,866,566,199,9,-43.0
868,1710,1074,218,840,234,30,0,14.0
752,1937,1540,385,770,770,397,42,-30.0
849,1851,1253,270,886,367,79,1,-19.0
718,1257,721,136,626,95,5,0,46.0
820,1580,981,198,774,207,32,0,23.0
730,1939,1628,432,664,964,611,92,-13.0
799,1871,1333,299,872,461,127,3,-38.0
284,448,235,41,224,11,0,0,30.0
330,525,278,49,262,16,1,0,34.0
869,1890,1285,279,896,389,98,3,-15.0
835,1584,973,195,776,197,32,1,29.0
674,1159,655,122,578,77,3,0,48.0
815,1806,1243,272,854,389,98,1,-20.0
859,1768,1155,243,852,303,64,1,3.0
815,1690,1107,233,816,291,58,1,-1.0
782,1914,1448,346,820,628,274,22,-30.0
662,1173,679,129,584,95,5,0,39.0
884,1698,1052,212,832,220,34,0,26.0
767,1985,1575,392,798,777,389,39,-35.0
826,1772,1200,261,834,366,104,6,-7.0
844,1744,1135,237,848,287,48,0,-2.0
729,1938,1654,450,608,1046,722,131,-5.0
558,901,483,86,450,33,1,0,54.0
845,1906,1333,296,890,443,126,3,-24.0
858,1765,1144,238,860,284,45,0,-1.0
644,1144,663,126,570,93,4,0,37.0
670,1167,666,125,582,84,3,0,44.0
865,1811,1189,250,878,311,55,1,-7.0
734,1946,1670,459,586,1084,774,150,-1.0
582,973,537,98,486,51,1,0,48.0
748,1314,758,144,652,106,10,0,48.0
727,1943,1709,490,478,1231,987,243,3.0
624,1074,609,114,534,75,6,0,45.0
116,176,89,15,88,1,0,0,14.0
752,1855,1386,324,828,558,199,6,-41.0
831,1851,1281,282,870,411,111,3,-21.0
834,1874,1312,292,872,440,130,2,-20.0
814,1913,1394,322,856,538,201,12,-27.0
763,1997,1612,409,770,842,457,55,-31.0
841,1807,1213,260,866,347,75,1,-13.0
