N0,N1,N2,Volume,Enclosing_surface,Contact_surface,TETRAVOXEL,OCTOVOXEL,MISC_Async
6307,13837,9439,2050,6578,2861,681,11,-141.0
4880,13943,12932,3830,2884,10048,8175,1918,39.0
4302,7157,3933,715,3576,357,5,0,363.0
6278,13736,9309,2007,6576,2733,584,14,-156.0
6348,13645,9136,1951,6566,2570,513,6,-112.0
5022,8435,4676,857,4210,466,15,0,406.0
5803,14380,10742,2511,6418,4324,1544,77,-346.0
5447,14385,11325,2766,6054,5271,2277,151,-379.0
5960,13877,9827,2191,6508,3319,861,14,-281.0
5944,14176,10260,2334,6516,3744,1144,40,-306.0
5143,14422,12045,3106,5454,6591,3514,369,-340.0
4987,14214,12329,3316,4762,7567,4690,653,-214.0
3316,5294,2808,495,2646,162,2,0,335.0
5381,14356,11333,2767,6064,5269,2228,135,-409.0
5911,14242,10414,2391,6482,3932,1278,45,-308.0
6230,13046,8582,1809,6310,2272,426,6,-43.0
6080,11729,7246,1451,5786,1460,157,2,146.0
6272,13965,9604,2096,6632,2972,701,10,-185.0
6013,13998,9975,2243,6492,3483,1014,27,-253.0
5085,14337,12077,3140,5314,6763,3709,401,-315.0
5419,14426,11454,2822,5976,5478,2474,193,-375.0
4058,6645,3606,649,3318,288,9,0,370.0
6144,11802,7271,1453,5824,1447,154,0,160.0
6042,14006,9931,2223,6524,3407,958,30,-256.0
5094,8789,4981,930,4382,599,25,0,356.0
5206,14363,11846,3020,5572,6274,3219,296,-331.0
6160,13285,8935,1917,6368,2567,549,6,-107.0
6028,14060,9995,2238,6562,3433,936,16,-275.0
5980,14022,10028,2259,6502,3526,1018,24,-273.0
5972,14245,10265,2322,6598,3667,1049,34,-330.0
6116,11250,6716,1310,5572,1144,106,0,272.0
5344,9318,5325,1001,4644,681,30,0,350.0
4660,7908,4419,815,3948,471,12,0,356.0
6275,13069,8562,1799,6330,2232,409,7,-31.0
6144,13940,9728,2150,6556,3172,828,24,-218.0
4889,14032,12658,3572,3884,8774,6264,1119,-57.0
6277,12971,8450,1767,6298,2152,375,1,-11.0
6320,12762,8190,1695,6210,1980,342,4,53.0
5302,9159,5198,972,4564,634,31,0,369.0
5738,14253,10662,2495,6354,4308,1545,80,-348.0
6209,13906,9619,2112,6566,3053,774,23,-190.0
6250,12600,8059,1661,6152,1907,296,2,48.0
5636,9940,5737,1088,4946,791,48,0,345.0
4882,13934,12932,3846,2788,10144,8358,2026,34.0
5550,9799,5668,1078,4868,800,63,0,341.0
1656,2540,1298,221,1270,28,0,0,193.0
6302,14034,9653,2108,6658,2995,718,18,-187.0
6279,13130,8608,1807,6374,2234,382,5,-50.0
2920,4610,2421,423,2304,117,2,0,308.0
5464,14387,11247,2726,6138,5109,2111,130,-402.0
5067,14380,12139,3157,5336,6803,3708,393,-331.0
6267,13090,8593,1808,6338,2255,414,5,-38.0
5924,10882,6488,1264,5392,1096,98,0,266.0
4924,8340,4661,861,4156,505,28,0,384.0
6145,12095,7597,1543,5936,1661,223,1,104.0
6318,13279,8727,1834,6450,2277,379,4,-68.0
6035,14268,10308,2346,6540,3768,1188,37,-271.0
5971,14354,10457,2391,6568,3889,1218,37,-317.0
5436,9530,5474,1034,4744,730,42,0,346.0
6356,13341,8792,1856,6448,2344,445,6,-49.0
5253,14421,11796,2982,5700,6096,3021,261,-354.0
5964,14138,10165,2298,6542,3623,1054,36,-307.0
5698,14316,10720,2501,6434,4286,1448,62,-399.0
6168,12988,8578,1814,6272,2306,444,8,-56.0
6094,11321,6807,1335,5604,1203,113,0,245.0
4897,13895,12969,3918,2430,10539,9035,2361,53.0
4913,14137,12598,3494,4232,8366,5673,921,-120.0
3332,5370,2872,510,2684,188,2,0,324.0
5290,9235,5287,996,4598,689,39,0,346.0
5556,14471,11227,2706,6218,5009,2035,126,-394.0
6375,12630,7971,1625,6192,1779,246,1,91.0
6213,13416,9019,1933,6440,2579,536,7,-117.0
6202,12279,7741,1576,6026,1715,227,0,88.0
2512,3930,2047,355,1964,83,2,0,274.0
5944,14449,10645,2460,6530,4115,1389,54,-320.0
6414,13429,8829,1860,6498,2331,433,8,-46.0
340,512,257,43,256,1,0,0,42.0
5637,14404,10980,2605,6330,4650,1744,91,-392.0
5898,14442,10674,2470,6528,4146,1386,50,-340.0
4893,13943,12851,3786,2986,9865,7971,1877,15.0
5817,14277,10564,2446,6452,4112,1373,49,-342.0
6077,13981,9864,2200,6528,3336,925,29,-240.0
2260,3508,1813,312,1754,59,0,0,253.0
5554,9857,5716,1088,4904,812,49,0,325.0
4896,13898,12954,3897,2526,10428,8846,2260,55.0
5459,14355,11257,2740,6074,5183,2207,143,-379.0
