N0,N1,N2,Volume,Enclosing_surface,Contact_surface,TETRAVOXEL,OCTOVOXEL,MISC_Async
64,130,85,18,62,23,6,0,1.0
16,24,12,2,12,0,0,0,2.0
61,129,87,19,60,27,9,1,0.0
64,144,108,27,54,54,36,8,1.0
63,143,105,25,60,45,23,3,0.0
64,142,101,23,64,37,14,0,0.0
28,44,23,4,22,1,0,0,3.0
64,130,85,18,62,23,6,0,1.0
64,112,64,12,56,8,0,0,4.0
24,36,18,3,18,0,0,0,3.0
64,144,108,27,54,54,36,8,1.0
64,96,48,8,48,0,0,0,8.0
60,108,63,12,54,9,0,0,3.0
48,72,36,6,36,0,0,0,6.0
64,143,106,26,56,50,31,6,1.0
68,124,73,14,62,11,0,0,3.0
68,138,88,18,68,20,2,0,0.0
40,76,46,9,38,8,0,0,1.0
56,114,73,15,56,17,2,0,0.0
50,101,64,13,50,14,1,0,0.0
59,130,90,20,60,30,10,1,-1.0
64,138,95,21,64,31,10,0,0.0
60,122,80,17,58,22,6,0,1.0
48,80,44,8,40,4,0,0,4.0
66,145,104,24,64,40,17,0,1.0
62,135,92,20,64,28,7,0,-1.0
63,137,98,23,58,40,21,3,1.0
60,112,67,13,56,11,0,0,2.0
20,32,17,3,16,1,0,0,2.0
54,105,65,13,52,13,1,0,1.0
58,119,77,16,58,19,3,0,0.0
16,24,12,2,12,0,0,0,2.0
60,118,74,15,58,16,2,0,1.0
60,128,89,20,58,31,12,0,1.0
62,134,95,22,58,37,18,2,1.0
60,118,74,15,58,16,2,0,1.0
56,110,69,14,54,15,2,0,1.0
56,106,65,13,52,13,2,0,2.0
56,118,79,17,56,23,6,0,0.0
0,0,0,0,0,0,0,0,0.0
61,123,82,18,56,26,11,1,2.0
16,24,12,2,12,0,0,0,2.0
68,130,80,16,64,16,2,0,2.0
64,141,102,24,60,42,21,2,1.0
54,115,76,16,56,20,3,0,-1.0
64,141,102,24,60,42,21,2,1.0
62,117,71,14,58,13,1,0,2.0
24,36,18,3,18,0,0,0,3.0
62,133,93,21,60,33,13,0,1.0
52,88,49,9,44,5,0,0,4.0
60,124,83,18,58,25,8,0,1.0
66,125,76,15,62,14,1,0,2.0
60,112,67,13,56,11,0,0,2.0
62,133,89,19,64,25,5,0,-1.0
36,60,33,6,30,3,0,0,3.0
52,92,53,10,46,7,0,0,3.0
56,96,54,10,48,6,0,0,4.0
64,143,106,26,56,50,31,6,1.0
61,136,98,23,58,40,20,3,0.0
54,107,68,14,52,16,3,0,1.0
55,118,83,19,52,31,14,1,1.0
63,142,103,24,62,41,18,1,0.0
60,116,73,15,56,17,4,0,2.0
62,127,82,17,62,20,3,0,0.0
60,126,86,19,58,28,10,0,1.0
62,137,100,24,56,44,25,4,1.0
0,0,0,0,0,0,0,0,0.0
62,133,93,21,60,33,13,0,1.0
52,92,53,10,46,7,0,0,3.0
60,120,77,16,58,19,4,0,1.0
