Points,Edges,Area,Perimeter,Contact_perimeter,TETRAPIXEL,Euler_General_8_Async
68744,127323,53946,38862,88461,29882,-7440
71639,108817,38422,63946,44871,7693,-6500
71394,109102,38690,63444,45658,7950,-6505
55441,66461,19500,54922,11539,519,2671
67625,129323,57347,29258,100065,38367,-5963
69679,97685,32390,65810,31875,3869,-3770
29591,31865,8540,29570,2295,21,4668
36969,40586,11060,36932,3654,37,4851
68314,128180,55208,35528,92652,32786,-6999
71242,105335,36417,65002,40333,6240,-5573
64172,82612,25638,62672,19940,1500,-215
67977,92698,30085,65056,27642,2921,-2477
56492,68160,20102,55912,12248,580,2500
71123,103614,35402,65620,37994,5503,-5263
45271,51523,14484,45110,6413,161,4392
69792,98171,32672,65654,32517,4138,-3775
70899,103669,35532,65210,38459,5689,-5265
70565,122919,48760,50798,72121,19767,-8442
8056,8208,2090,8056,152,0,1806
19064,19856,5163,19060,796,4,3694
67450,90969,29280,64818,26151,2632,-2046
69176,95135,31063,66018,29117,3158,-3166
55903,67362,19850,55324,12038,579,2604
67954,92035,29718,65198,26837,2756,-2348
50091,58151,16612,49854,8297,237,3849
70686,102151,34691,65538,36613,5148,-4836
59684,74014,22315,58768,15246,916,1443
70037,99279,33210,65718,33561,4319,-4226
70907,103004,35125,65508,37496,5399,-5066
67415,90911,29236,64878,26033,2537,-2096
53888,64036,18648,53480,10556,408,3153
36609,40183,10956,36542,3641,67,4869
59087,72660,21758,58288,14372,799,1793
63743,81527,25178,62342,19185,1401,-5
66239,131364,63063,10476,120888,55763,-2255
44523,50470,14137,44392,6078,131,4439
25672,27242,7206,25660,1582,12,4371
68363,92883,30057,65538,27345,2825,-2631
6422,6507,1648,6422,85,0,1497
41530,46583,12933,41434,5149,96,4706
71091,105019,36271,64954,40065,6137,-5469
71926,113697,41473,61502,52195,10424,-7508
64339,83365,26009,62694,20671,1645,-447
69065,95167,31132,65806,29361,3259,-3167
54180,64467,18808,53702,10765,478,3107
65768,86488,27288,63824,22664,1944,-1052
71356,118243,44828,57174,61069,14182,-8170
71336,118900,45309,56564,62336,14772,-8244
68959,94980,31036,65816,29164,3143,-3109
67678,91337,29406,65050,26287,2628,-2202
53019,62877,18287,52606,10271,413,3294
70669,101762,34453,65712,36050,4957,-4795
68559,127672,54352,37936,89736,30623,-7341
42825,48076,13358,42720,5356,105,4698
62154,78397,23941,61030,17367,1124,718
68303,128166,55037,36184,91982,32119,-7140
70205,99275,33127,66042,33233,4163,-4198
66120,131496,63888,7440,124056,58680,-1561
66721,130684,60307,20140,110544,46581,-4340
2462,2473,621,2462,11,0,598
51796,60935,17599,51474,9461,322,3441
71315,106346,37011,64648,41698,6667,-5817
69346,125743,51981,43562,82181,25784,-7883
65292,85274,26775,63448,21826,1844,-737
71297,105222,36302,65236,39986,6061,-5601
70797,121781,47817,52294,69487,18503,-8324
16329,16907,4372,16326,581,3,3296
67385,90901,29262,64754,26147,2631,-2008
71458,108079,38021,64074,44005,7384,-6247
66821,89048,28402,64488,24560,2333,-1566
70006,99470,33329,65624,33846,4382,-4153
71423,106313,36946,64842,41471,6581,-5905
45429,51944,14655,45268,6676,161,4431
71216,119941,46102,55474,64467,15742,-8383
66080,131524,64379,5532,125992,60548,-1099
68156,92912,30129,65308,27604,2848,-2553
60677,75339,22730,59758,15581,919,1292
59584,73824,22235,58708,15116,876,1525
70283,100205,33646,65826,34379,4457,-4447
10362,10561,2690,10362,199,0,2288
69479,96995,32033,65858,31137,3621,-3566
68908,94690,30901,65776,28914,3132,-3037
67911,128905,56325,32510,96395,35401,-6577
16790,17454,4530,16788,666,2,3391
41397,46318,12834,41300,5018,97,4772
66536,88101,27955,64382,23719,2154,-1466
46349,52996,14958,46160,6836,189,4382
70553,122014,48121,51544,70470,19009,-8244
71811,114089,41736,61234,52855,10577,-7553
69804,124762,50790,46364,78398,23440,-8129
68877,94823,31000,65646,29177,3231,-3068
70867,121456,47425,53212,68244,17655,-8397
70985,119904,46235,54868,65036,16117,-8197
61607,77129,23414,60602,16527,1005,936
70977,103711,35554,65206,38505,5771,-5200
18045,18792,4885,18044,748,1,3499
67555,129532,57494,29088,100444,38467,-6017
71846,112573,40724,62250,50323,9596,-7302
71244,106034,36835,64728,41306,6516,-5707
53949,64194,18716,53524,10670,425,3129
67913,91292,29307,65356,25936,2557,-2200
37990,41904,11474,37912,3992,78,4856
49583,57503,16430,49286,8217,297,3904
68544,127411,54141,38258,89153,30286,-7321
69570,125063,51229,45210,79853,24360,-8004
71199,103811,35500,65622,38189,5577,-5283
67786,91670,29542,65172,26498,2614,-2239
56446,68296,20189,55836,12460,610,2384
71531,111169,39974,62442,48727,9089,-6861
