Points,Edges,Area,Perimeter,Contact_perimeter,TETRAPIXEL,Euler_General_4_Async
17515,31349,12802,11490,19859,6025,-1032
17787,25688,8701,16572,9116,1215,800
18005,28784,10601,15164,13620,2841,-178
17869,29496,11161,14348,15148,3521,-466
2426,2475,631,2426,49,0,582
17254,32005,13620,9530,22475,7724,-1131
15940,20507,6360,15574,4933,366,1793
17889,29768,11333,14204,15564,3685,-546
8599,9340,2522,8592,748,7,1781
17045,32447,14291,7730,24717,9315,-1111
17252,23746,7775,16392,7354,860,1281
18035,28650,10482,15372,13278,2663,-133
18008,27795,9944,15814,11981,2194,157
17262,23758,7765,16456,7302,806,1269
17183,23236,7494,16496,6740,687,1441
16822,22020,6932,16312,5708,510,1734
14216,17179,5071,14074,3105,142,2108
12164,14038,3991,12112,1926,52,2117
17958,29415,11066,14566,14849,3392,-391
18003,27513,9778,15914,11599,2089,268
7256,7768,2071,7252,516,4,1559
1614,1645,419,1614,31,0,388
15660,19968,6156,15312,4656,348,1848
17656,25097,8396,16610,8487,1046,955
15507,19428,5904,15240,4188,267,1983
15942,20269,6239,15582,4687,360,1912
11039,12438,3466,11012,1426,27,2067
16722,22141,7017,16214,5927,508,1598
9411,10339,2819,9402,937,9,1891
7513,8058,2152,7508,550,5,1607
4676,4878,1270,4676,202,0,1068
17715,25310,8517,16552,8758,1163,922
17920,29138,10912,14628,14510,3292,-306
17471,24541,8148,16490,8051,981,1078
17867,29988,11490,14016,15972,3851,-631
12257,14250,4078,12188,2062,69,2085
17287,24041,7932,16354,7687,933,1178
18022,29750,11240,14540,15210,3482,-488
17699,25485,8619,16494,8991,1205,833
17840,30688,12037,13228,17460,4612,-811
17580,24542,8112,16636,7906,944,1150
12901,15191,4390,12822,2369,79,2100
15297,19112,5801,15020,4092,277,1986
17559,24661,8187,16574,8087,985,1085
17834,30361,11809,13486,16875,4348,-718
10036,11203,3095,10026,1177,10,1928
4154,4303,1113,4154,149,0,964
17047,23029,7423,16366,6663,681,1441
16680,21986,6948,16180,5806,500,1642
15455,19317,5849,15238,4079,217,1987
5865,6159,1614,5862,297,3,1320
13433,16009,4674,13322,2687,111,2098
16735,22185,7042,16202,5983,533,1592
17769,30556,11985,13172,17384,4597,-802
17518,24350,8032,16572,7778,946,1200
16604,21926,6938,16100,5826,504,1616
16166,20814,6459,15792,5022,374,1811
17197,32266,13958,8700,23566,8497,-1111
17292,23676,7705,16532,7144,760,1321
18062,27625,9802,16042,11583,2020,239
17759,25394,8559,16552,8842,1207,924
17163,32272,13916,8880,23392,8283,-1193
17264,31983,13608,9534,22449,7730,-1111
17998,27355,9663,16058,11297,1940,306
14763,18125,5418,14578,3547,185,2056
16013,20425,6288,15698,4727,315,1876
3158,3231,826,3158,73,0,753
4068,4199,1083,4066,133,2,952
17969,27518,9776,15932,11586,2037,227
17077,32357,14114,8258,24099,8819,-1166
10475,11710,3241,10456,1254,19,2006
17456,24127,7916,16590,7537,866,1245
17984,29582,11152,14556,15026,3428,-446
17179,32193,13863,8934,23259,8245,-1151
11823,13513,3814,11770,1743,53,2124
17126,23039,7396,16494,6545,632,1483
17403,31714,13182,10700,21014,6703,-1129
12493,14521,4150,12442,2079,51,2122
17879,29869,11427,14030,15839,3849,-563
16650,22111,7031,16098,6013,552,1570
16936,32581,14539,7006,25575,9930,-1106
13123,15548,4519,13020,2528,103,2094
2212,2244,569,2212,32,0,537
13823,16480,4813,13708,2772,115,2156
12404,14406,4117,12344,2062,60,2115
18015,27447,9720,16014,11433,2001,288
17784,25945,8872,16402,9543,1382,711
14454,17599,5230,14278,3321,176,2085
16325,21190,6609,15944,5246,381,1744
17223,23389,7568,16506,6883,717,1402
16641,33024,16339,692,32332,15949,-44
